"","Table 7#10# Chain-Type Quantity and Price Indexes for Exports an","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146"
"70","59","    Computers, peripherals, and parts","B850RG",4304.24,4347.24,4338.43,4306.65,4266.65,4318.29,4315.73,4380.92,4354.76,4282.25,4239.01,4137.25,4051.73,3874.13,3715.51,3608.61,3491.08,3346,3231.49,3074.84,2944.76,2876.64,2799.77,2707.5,2697.95,2641.19,2505.63,2350.98,2183.04,2042.15,1940.4,1875,1877.51,1870.32,1835.09,1776.45,1695.85,1626.44,1558.94,1506.55,1462.41,1412.23,1354.3,1293.82,1240.62,1189.84,1143.12,1093,1070.68,1038.21,990.82,936.9,882.06,826.04,779.15,750.26,749.66,749.23,744.38,737.2,725.4,712.15,690.84,670.74,623.6,584.65,544.28,515.19,492.5,469.12,443.66,422.28,408.09,391,373.07,352.1,335.42,325.94,325.17,316.76,293.91,281.16,269.08,268.7,269.45,261.87,256.14,251.49,250.13,240.55,234.96,224.36,213.83,211.18,211.3,206.61,200.09,194.41,184.03,180.63,179.55,171.43,163.33,158.02,152.96,148.47,144.38,140.03,137.56,135.86,133.17,128.5,124.02,121.61,117.53,113.42,107.78,102.23,97.24,92.75,89.76,86.87,84.69,82.51,79.81,76.97,73.22,71.98,70.19,68.98,67.42,67.18,65.79,65.02,64.84,64.69,64.29,63.7,62.6,61.79,61.21,60.61,59.48
"71","60","    Other","B689RG",40.75,40.31,40.45,41.62,41.76,46.46,44.99,45.88,47.07,46.49,46.94,50.03,50.76,52.08,50.6,50.43,53.05,52.3,49.36,52.16,53.22,52.8,52.09,52.7,52.42,54.36,54.23,57.05,60.46,60.9,65.16,67.05,71.67,76.03,77.61,80.24,81.04,83.26,83.56,86.94,85.27,85.71,88.37,90.46,90.1,93.08,91.63,97.94,95.86,100.97,102.52,99.81,102.67,109.17,115.25,121.24,124.19,125.38,127.48,129.45,129.88,130.58,130.67,130.02,129.62,129.38,128.54,128.7,130.31,130.09,129.58,128.48,125.28,123.8,121.95,120.77,120.13,119.35,119.2,119.65,119.88,119.97,120.14,121.21,123.31,123.91,124.24,124.7,124.96,124.76,124.16,122.82,120.27,119.38,119.28,118.88,119.6,119.32,117.85,117.28,116.43,115.45,114.44,113.72,113.42,113.39,112.89,112.64,111.98,111.35,110.37,108.87,108.09,106.6,105.3,104.1,102.87,100.89,99.18,97.06,96.29,96.11,95.8,95.38,95.01,94.81,94.51,94.24,94.18,94.04,93.67,93.75,93.31,93.21,93.48,93.24,93.31,93.19,92.59,92.36,92.42,92.17,92.08
"72","61","  Automotive vehicles, engines, and parts","B641RG",20.4,20.57,20.57,20.74,20.74,20.83,20.4,20.83,21.18,21.44,22.13,22.47,22.38,22.29,22.12,21.77,23.13,23.64,23.9,24.07,24.34,24.43,24.86,25.03,25.36,26.12,27.07,27.16,28.04,28.91,30.37,32.85,33.61,35.14,35.38,35.62,36.72,36.88,38.15,39.68,40.52,40.95,42.15,42.76,42.72,44.53,47.11,47.19,51.16,53.36,53.59,54.85,57.81,59.69,63.04,65.9,68.22,69.79,70.83,72.26,73.91,74.9,75.51,75.81,76.27,77.11,78.52,78.94,79.54,80.12,80.41,79.86,80.83,81.79,82.19,82.23,82.57,83.41,84.04,84.56,84.78,85.14,85.62,85.61,85.82,86.24,87.77,88.19,88.1,88.46,89.19,90.58,90.74,91.41,91.88,92.34,93.32,93.94,94.56,94.78,95.34,95.8,96.26,96.38,96.66,96.88,96.83,96.71,97.15,97.53,97.94,98.13,98.45,98.59,98.94,99.71,99.81,99.92,100.14,100.14,100.63,100.87,100.96,100.8,100.83,100.81,100.88,101.18,101.3,101.38,101.54,101.96,102.16,102.34,102.55,102.5,102.57,102.83,102.83,102.74,103.01,103.07,103.28
"73","62","  Consumer goods, except automotive","B642RG",30.49,30.49,30.49,30.48,30.63,30.32,31.79,31.37,31.87,31.1,32.41,33.91,32.88,34.47,32.56,31.13,33.99,33.48,33.73,34.82,34.28,35.76,35.08,37.98,37.66,37.93,39.82,41.84,40.23,40.94,43.18,44.13,46.89,47.93,45.69,46.93,50.58,51.22,50.96,50.48,52.79,53.11,51.95,51.32,55.84,56.06,58.2,60.73,65.17,67.21,68.13,69.2,67.99,68.34,72.63,73.64,73.14,72.32,73.35,75,75.64,73.54,74.28,74.01,73.98,75.25,76.14,75.62,76.53,76.33,76.47,76.44,75.97,76.08,76.46,76.31,77.86,78.74,79.07,80.24,80.73,81.2,81.72,82.34,83.8,84.4,84.77,86.09,86.92,87.63,88.27,88.75,89.93,90.77,91.02,91.76,93.11,94.46,93.76,94.24,95.74,95.71,95.69,96.48,97.07,97.02,96.94,97.1,97.37,97.4,97.19,97.53,98.04,98.72,98.97,99.06,99.65,100,100.12,100.23,100.52,100.58,100.87,101.01,101.06,100.81,100.61,100.53,100.31,100.31,100.36,100.62,100.84,100.87,100.9,100.65,100.49,100.21,100.46,100.66,99.9,99.66,99.96
"74","63","    Durable goods","B690RG",25.77,25.76,25.75,25.74,26.47,24.87,25.12,27.15,27.13,26.27,26.75,26.45,27.32,31.21,26.34,25.12,31.3,29.36,30.34,31.48,30.76,31.35,32.03,33.9,36.3,36.64,38.81,38.01,37.16,36.53,39.71,41.24,42.27,42.9,42.75,42.59,46.41,47.66,44.44,45.12,47.51,46.76,45.59,46.44,50.99,51.01,54.56,57.47,62.03,64.14,66.31,68.02,70,72.18,73.96,76.17,76.21,76.18,76.83,78.07,78.37,78.23,79.2,79.97,80.84,81.17,81.53,80.16,80.79,80.08,79.53,79.63,78.65,78.72,79.26,79.32,81.87,82.09,82.71,83.49,83.93,83.88,84.26,85.39,86.21,87.27,87.72,88.96,89.46,90.56,91.32,92.26,93.3,94.21,93.89,94.08,95.7,97,96.15,96.42,98.13,96.9,96.59,97.74,97.99,97.5,97.38,97.47,98,98.12,97.81,98.17,98.39,98.64,99.15,99.19,99.61,100.04,100.14,100.2,100.66,101.01,101.02,101.17,101.1,100.76,100.51,100.39,99.92,99.98,100.15,100.18,100.6,100.97,100.93,100.59,100.84,100.58,100.88,101.21,100.81,100.27,100.49
"75","64","    Nondurable goods","B691RG",36.07,36.07,36.08,36.09,35.64,36.66,39.47,36.4,37.45,36.73,38.99,42.67,39.34,38.73,39.67,38.03,37.61,38.47,38.07,39.16,38.76,41.28,39.01,43.09,39.68,39.85,41.43,46.83,44.24,46.73,47.74,48.04,52.85,54.4,49.77,52.59,56.08,56.01,59.31,57.37,59.6,61.17,60.01,57.75,62.26,62.75,63.06,65.11,69.33,71.33,70.93,71.44,66.32,64.59,71.65,71.5,70.37,68.78,70.13,72.13,73.05,69.28,69.8,68.71,68.08,70.05,71.33,71.43,72.52,72.71,73.33,73.22,73.13,73.26,73.53,73.21,74.04,75.37,75.46,76.94,77.46,78.35,78.98,79.19,81.17,81.36,81.67,83.06,84.28,84.54,85.04,85.02,86.36,87.12,88.02,89.34,90.42,91.82,91.27,91.96,93.24,94.48,94.75,95.18,96.1,96.54,96.5,96.72,96.72,96.66,96.56,96.87,97.67,98.81,98.78,98.93,99.7,99.95,100.09,100.27,100.37,100.11,100.71,100.84,101.02,100.87,100.71,100.69,100.74,100.67,100.59,101.11,101.1,100.76,100.86,100.72,100.11,99.81,99.99,100.06,98.91,99.01,99.39
"76","65","  Other","B643RG",24.55,24.36,24.26,24.44,24.52,24.91,24.45,24.56,24.71,25.03,25.25,26.05,26.31,26.78,26.76,26.92,27.62,27.53,27.45,27.51,28.01,28.27,28.38,29.26,30.53,32.08,33.95,36.41,38.85,40.13,42.41,44.59,47.03,45.75,45.89,46.68,47.34,47.93,48.23,49.34,50.01,50.62,50.49,50.48,51.47,53.37,54.1,55.67,57.38,60.54,62.45,63.4,65.15,66.54,69.25,71.27,73.53,72.89,73.57,74.3,74.98,74.9,74.31,73.68,73.95,74.77,75.92,77.31,78.07,78.96,78.38,77.22,76.85,76.57,75.99,76.11,75.47,75.74,74.27,75.68,76.54,78.43,78.42,80.99,81.78,84.47,86.57,86.17,87.32,87.55,87.32,87.45,87.91,88.52,89.41,90.66,90.88,90.9,90.27,90.53,90.54,91.21,91.47,91.46,91.99,92.51,93.05,92.97,94.22,94.99,95.87,96.95,99.05,100.46,100.65,100.5,100.47,100.74,99.98,98.82,99.09,99.11,98.99,98.61,97.59,97.13,96.29,95.66,95.54,95.63,96.06,96.66,97.25,97.81,97.9,98.06,98.03,97.72,97.25,96.37,96.13,96.86,97.87
"77","66","Exports of services \1\","B646RG",25.37,25.55,25.76,26.05,26.43,26.59,26.77,26.98,27.07,27.44,27.83,28.13,28.01,28.47,28.86,29.2,29.93,30.19,30.44,30.66,31.32,31.65,32.06,32.47,32.2,33.06,33.92,34.7,36.28,37.04,38.1,38.85,39.33,39.89,40.62,41.05,41.76,42.18,42.59,43.23,43.63,44.45,45.08,45.94,46.86,47.75,48.59,49.26,49.7,51.05,52.56,54.35,56.42,57.87,59.02,60.3,61.69,62.73,63.92,64.95,65.66,66.9,68,68.69,69.62,69.93,70.43,70.51,69.98,70.75,71.3,72.21,72.36,73,73.79,74.56,75.18,75.43,75.87,76.17,76.71,77.46,78.02,78.63,78.89,79.48,79.87,80.45,81.54,82.25,82.52,83.17,84.27,84.99,86.97,89.63,90.44,90.3,91.02,91.65,92.29,92.95,93.79,94.02,94.03,94.49,94.47,94.87,94.82,95.3,96.19,96.57,97.09,98.16,98.28,98.44,99.43,99.51,100.16,100.9,100.75,101.66,101.53,101.72,101.23,101.35,101.34,101.55,101.29,101.82,102.02,102.14,103.13,103.9,104.42,104.32,103.71,103.15,102.99,101.89,101.9,103.04,103.97
"78","67","  Transfers under U.S. military agency sales contracts","B267RG",31.32,31.71,32.05,32.35,32.76,33.06,33.15,33.74,34.76,35.33,35.74,36,33.05,33.5,34.57,34.91,35.47,36.29,37.59,38.14,48.22,49.08,49.96,50.49,50.05,50.83,51.18,49.53,51.31,51.63,53.4,53.38,53.72,54.63,57.16,57.44,58.97,59.7,60.26,61.3,62.98,63.57,63.66,64.86,66.38,67.33,68.18,68.35,69.4,70.61,72.37,74.22,75.12,77.61,78.55,80.58,81.69,84.23,85.78,86.64,88.52,91.33,92.3,92.13,92.23,92.75,94.89,94.3,94.46,95.2,95.11,99.04,96.42,94.09,94.16,92.99,90.25,89.64,88.64,85.5,86.47,84.8,82.52,82.26,82.51,82.23,81.39,81.76,82.63,82.74,83.51,82.53,84.15,84.38,86.41,87.9,87.95,88.46,88.87,89.47,89.24,90,90.13,91.12,91.55,92.47,93.69,94.2,94.26,97.9,97.66,98.51,98.44,99.47,99.43,101.16,104.2,98.54,98.54,98.72,98.69,98.37,96.74,97.11,96.4,96.53,95.93,94.29,99.98,100.05,99.84,100.09,99.39,98.9,98.59,98.28,97.49,97.41,97.23,95.68,95.32,95.68,95.91
"79","68","  Travel","B493RG",22.19,22.29,22.49,22.69,22.89,23.29,23.59,23.79,24.09,24.49,24.89,25.19,25.59,25.99,26.19,26.59,26.79,27.09,27.29,27.49,27.69,27.89,28.29,28.59,28.89,29.39,29.89,30.39,30.99,31.79,32.59,33.39,33.99,34.39,34.89,35.49,36.39,36.89,37.49,38.09,38.69,39.49,40.09,40.78,41.79,42.68,43.78,44.68,45.48,46.68,47.88,49.58,51.28,52.58,53.88,55.18,56.68,58.08,59.78,60.68,61.78,62.98,64.18,64.68,65.08,65.78,66.58,67.58,68.47,69.47,70.17,70.57,71.27,72.37,73.37,74.27,73.77,74.37,75.17,76.17,77.37,78.17,78.97,79.07,80.57,81.27,81.37,81.57,82.37,83.27,83.97,84.57,85.77,86.67,88.97,90.57,93.17,93.07,93.57,93.97,94.97,95.07,95.57,95.67,95.76,96.06,95.96,96.46,96.46,96.66,96.36,96.46,96.56,97.76,97.96,98.26,99.16,99.76,100.36,100.66,101.26,102.06,102.46,103.26,102.8,103.08,103.54,104.21,104.17,105.84,106.67,107.64,109.49,111.18,111.78,112.38,112.3,112.96,111.47,109.41,109.25,110.6,110.44
"80","69","  Passenger fares","B533RG",31.93,32.06,32.19,32.19,32.06,32.25,32.25,32.25,32.29,32.49,32.69,32.75,32.67,32.73,32.73,32.73,34.53,35.6,35.86,37.19,37.38,37.58,37.78,38.04,37.99,37.92,37.99,38.52,39.82,41.81,44.79,47.45,48.2,48.47,48.53,47.87,50.41,50.77,51.19,52.61,49.96,52.52,53.17,53.9,53.8,52.4,52.2,51.67,51.19,51.12,51.12,51.79,54.31,57.03,59.09,60.42,61.96,62.89,63.89,64.88,65.73,66.39,66.39,67.06,66.39,66.39,66.39,66.39,65.77,65.1,64.37,63.71,62.41,62.08,62.08,62.75,63.92,64.06,64.72,66.04,66.64,68.22,69.5,70.87,72.05,73.23,72.85,74.57,74.96,75.08,74.79,74.84,76,77.57,81.06,85.43,87.99,87.95,87.96,88.92,89.38,90.5,92.79,90.35,90.47,92.57,93.59,93.07,93.65,93.46,95.08,96.67,98.61,102.18,99.95,99.21,99.43,98.21,100.25,102.02,93.14,99.56,98.94,94.83,94.89,93.93,93.41,98.47,101.03,100.82,102.91,105.08,104.38,105.47,105.58,104.75,107.34,104.49,106.7,105.76,105.53,106.36,114.72
"81","70","  Other transportation","B683RG",32.01,32.23,32.45,32.67,33.55,33.3,33.04,32.79,31.51,31.9,32.24,32.55,32.3,32.98,33.64,34.27,36.1,35.88,35.65,35.37,33.62,34.23,34.77,35.26,33.39,35.41,37.42,39.42,43.69,44.18,44.65,45.09,44.94,45.72,46.5,47.3,48.55,49.07,49.6,50.1,49.63,50.76,51.83,52.9,53.53,54.82,56.06,57.28,56.37,58.97,61.55,64.13,68.65,69.99,71.33,72.67,75.36,75.78,76.2,76.62,75.74,77.1,78.31,79.42,84.8,83.16,81.53,79.72,73.22,74.24,75.2,76.12,75.58,77.18,78.65,80.07,84.24,83.69,83.2,82.66,81.19,82.32,83.22,83.09,81.88,81.88,82.14,82.59,84.8,86.05,86.29,87.72,90.22,87.5,91.01,100.54,96.16,92.27,94,94.4,92.39,93.88,95.62,96.67,95.78,96.72,95.94,95.72,94.6,94.65,96.89,96.27,96.91,98.33,97.4,96.67,98.71,99.64,100.08,101.57,101.3,100.18,99.41,100.16,97.03,97.21,96.99,96.01,93.81,96.95,99.22,100.21,103.3,106.05,109.63,111.17,107.89,106.38,106.87,104.33,102.54,106.01,107.98
"82","71","  Royalties and license fees","B684RG",22.05,22.2,22.4,22.66,23,23.22,23.52,23.82,24.07,24.36,24.69,24.98,25.33,25.73,25.94,26.24,26.73,27.15,27.49,27.78,28.05,28.28,28.55,28.94,29.42,29.97,30.51,31.1,31.89,32.72,33.77,34.6,35.33,35.89,36.56,37.22,37.76,38.21,38.81,39.54,40.32,41.1,41.78,42.58,43.25,44.3,45.15,46.09,47.06,48.19,49.49,50.7,52.12,53.3,54.55,56.01,57.5,58.61,59.59,60.83,61.63,62.13,62.89,63.6,64.15,64.97,65.74,66.2,67.1,67.84,68.39,68.96,69.59,70.22,70.74,71.51,71.95,72.19,72.85,73.41,74.18,74.84,75.52,76.21,76.8,77.67,78.54,79.38,80.34,81.34,81.96,82.7,83.85,84.73,85.79,87.03,87.76,88.25,88.87,89.51,90.25,90.92,91.44,92,92.72,93.24,93.57,94.08,94.63,95.15,95.86,96.35,97.04,97.63,98.08,98.57,99.24,99.65,100.24,100.83,101.4,101.61,101.9,102.2,102.23,102.44,102.73,103.03,103.41,103.92,104.44,105.02,106.14,106.65,107.27,107.74,108.44,108.79,108.76,108.89,109.18,109.77,110.11
"83","72","  Other private services","B720RG",26.1,26.25,26.48,26.77,27.19,27.45,27.79,28.17,28.48,28.86,29.27,29.62,30.05,30.5,30.74,31.1,31.67,32.18,32.59,32.96,33.28,33.48,33.73,34.06,34.45,34.92,35.37,35.85,36.49,37.25,38.22,38.99,39.68,40.15,40.75,41.37,41.87,42.43,42.97,43.62,44.3,45.05,45.57,46.32,46.85,47.78,48.51,48.62,49.01,49.9,50.95,52.82,54.16,55.38,56.67,57.78,58.54,59.4,59.78,60.97,62.05,62.96,64.22,65.15,65.85,66.74,67.54,68.17,69.02,69.72,70.19,70.97,71.8,72.61,73.27,74.08,74.5,74.94,75.64,76.27,76.99,77.76,78.44,79.1,79.74,80.58,81.41,82.19,83.08,83.99,84.57,85.24,86.17,86.94,87.93,88.99,89.73,90.15,90.71,91.28,91.88,92.61,93.26,94.02,94.6,94.78,94.92,95.42,95.82,96.26,96.83,97.22,97.67,98.13,98.96,98.94,99.58,99.87,100.08,100.47,100.73,100.82,100.57,100.6,100.4,100.17,99.75,99.23,97.27,96.53,95.23,94.28,94.76,94.13,93.98,92.88,91.87,90.64,90.57,90.09,90.68,91.72,92.47
"84","73","  Other","B980RG",19.58,19.76,19.91,20.48,20.54,20.68,21.14,21.61,22.13,22.54,23.19,23.63,23.8,24.27,24.59,24.57,24.76,24.62,24.58,24.78,25.13,25.21,25.57,26.01,26.04,26.46,27.27,28.33,29.23,30.26,31.74,32.8,33.58,34.01,34.04,33.61,32.5,32.22,31.69,31.91,31.85,32.33,33.2,34.13,35.96,36.74,37.17,38.18,39.2,40.72,42.71,44.79,46.58,48.04,48.36,48.99,49.13,49.16,52.81,55.2,55.5,56.78,58.46,59.46,57.71,58.04,58.31,58.8,59.7,60.56,61.58,62.55,63.79,64.61,65.45,66.32,66.64,67.57,68.64,69.64,70.28,72.22,73.41,75.86,73.8,74.28,75.64,75.8,77.27,76.72,74.85,75.88,74.58,78.98,79.67,80.76,82.85,85.05,86.73,88.27,92.43,92.93,93.67,93.41,91.17,90.31,88.58,89.93,88.18,88.79,93,94.02,94.68,95.27,95.97,96.72,97.76,98.82,100.57,102.85,106.71,110.29,110.81,113.08,113.43,115.34,116.43,116.3,117.15,117.62,118.53,117.39,117.61,120.85,121.39,121.93,120.17,120.81,121.42,119.44,118.5,118.21,117.98
"85","74","      Imports of goods and services","B021RG",22.72,22.63,22.63,22.65,22.81,22.98,23.03,23.19,23.29,23.39,23.56,24.17,24.42,24.7,25.31,25.56,26.2,26.29,26.62,27.01,27.47,28.19,28.65,29.29,30.16,32.53,34.06,36.6,42.41,47.28,49.73,51.36,52.13,52.27,51.1,51.17,52.02,52.8,53.75,54.31,56.21,57.78,58.55,59.15,60.15,61.6,62.61,63.7,66.18,69.62,74.84,79.84,86.47,89.61,92.09,93.64,96.11,96.67,94.15,94.36,94.05,92.42,91.32,90.62,88.71,88.71,88.88,88.31,88.58,89.07,87.49,86.41,84.36,84.72,84.66,86.34,86.52,83.82,84.36,85.33,87.54,89.77,90.67,92.1,93.41,95.14,94.19,95.1,96.74,97.86,96.2,96.67,98.02,96.22,98.98,104.49,101.24,98.55,97.44,98.49,97.96,98.59,100.13,99.67,98.16,98.86,97.98,97.74,97.24,98.51,100.12,100.6,101.05,102.84,102.15,101.28,100.87,100.42,99.28,99.43,98.28,96.43,95.82,95.21,92.58,91.58,90.48,90.43,89.57,90.65,91.94,93.19,94.69,94.96,96.03,96.26,95.66,94.22,89.93,90.97,90.61,93.03,94.05
"86","75","Imports of goods \1\","B255RG",22.49,22.35,22.35,22.35,22.52,22.69,22.67,22.86,23,23.09,23.22,24.01,24.28,24.52,25.28,25.57,26.03,25.96,26.24,26.54,27.2,28.03,28.47,29.09,29.98,32.4,33.86,36.7,43.51,49.29,52.18,53.95,54.8,54.76,53.09,52.94,53.99,54.96,55.94,56.46,58.63,60.37,61.11,61.58,62.66,64.16,64.96,66.04,68.83,72.63,78.48,84.08,91.44,95.07,97.66,99.45,102.47,103.05,99.76,99.73,99.24,97.44,96.39,95.55,93.16,93.18,93.37,92.67,92.91,93.55,92.16,91.2,88.84,88.8,88.1,89.63,88.98,85.44,85.9,87.09,90.21,92.87,93.74,95.35,96.42,98.32,97.13,98.02,100.18,101.55,99.42,99.77,101.02,98.49,101.32,107.27,103.21,100.41,98.88,99.99,99.23,99.78,101.03,100.81,99.06,99.77,98.89,98.51,97.85,99.34,100.85,101.27,102.06,103.59,102.66,101.73,101.15,100.54,99.13,99.18,97.95,95.73,95.23,94.6,91.89,90.55,89.24,88.99,88.44,89.56,90.93,92.32,93.85,94.12,95.17,95.37,94.48,92.92,91.36,88.71,88.24,90.55,91.15
"87","76","  Foods, feeds, and beverages","B647RG",26.26,26.09,26.26,26.35,26.26,26.43,26.69,26.94,27.38,27.55,27.63,28.89,29.8,30.63,31.04,31.03,30.86,30.61,30.61,30.78,31.11,32.46,33.47,34.57,35.95,39.06,41.55,44.69,44.96,48.18,52.31,56.53,56.69,55.05,48.82,47.78,50.9,53.82,56.54,57.95,64,71.24,67.41,65.46,68.2,67.87,66.94,67.27,71.01,72.01,75.77,81.21,85.52,87.61,90.64,91.16,91,88.15,83.61,78.23,79.97,78.71,77.37,78.99,76.97,77.93,78.81,78.93,79.67,81.51,81.3,78.32,77.13,76.04,74.08,80.25,85.22,81.54,84.87,83.5,80.52,82.5,83.5,86.26,87.16,87.01,86.48,87.56,88.48,87.1,83.36,82,87.1,85.62,86.6,87.81,89.83,90.9,90.21,90.26,93.26,89.28,88.71,89.36,87.79,88.87,90.87,92.15,92.07,94.84,100.33,102.55,103.39,102.02,102.62,100.84,98.71,101.94,99.38,99.97,100.5,102.11,101.01,100.06,98.57,98.49,96.7,97.08,95.29,95.01,93.57,94.09,94.19,93.55,92.61,91.83,92.09,90.29,89.11,89.45,89.21,90.5,91.45
"88","77","  Industrial supplies and materials, except petroleum and products","B649RG",24.49,24.48,24.48,24.48,24.83,24.88,24.87,24.87,25.29,25.29,25.28,26.01,26.17,26.33,26.75,26.58,26.65,26.66,27.02,27.42,27.91,28.72,29.25,29.67,30.98,33.37,35.26,38.25,42.64,48.76,52.72,55.13,55.11,53.2,50.33,47.69,49.07,50.85,51.88,52.98,54.81,55.76,56.1,56.73,58,59.25,60.61,62.05,65.8,69.28,72.33,78.51,84.12,85.99,86.99,87.44,87.92,88,86.83,86.14,86.84,85.05,82.54,81.13,80.2,79.9,80.05,77.93,79.12,79.77,78.3,77.27,74.52,74.33,74.09,73.17,73.78,73.94,74.63,74.21,75.67,78.01,80.35,82.81,86.4,91.03,91.75,94.33,96.6,96.76,95.03,93.86,93.07,93.21,93.45,93.82,94.44,92.81,90.79,90.21,90.89,90.99,91.46,91.58,91.07,90.94,89.92,90.12,90.93,91.68,93.51,96.67,99.4,101.25,102.56,102.51,101.19,99.95,99.17,99.7,100.91,99.19,99.83,99.61,97.05,95.89,94.08,92.83,92.61,93.08,95.37,96.8,99.04,101.92,104.72,107.88,111.38,105.69,98.6,94.09,93.06,96.41,96.83
"89","78","    Durable goods","B820RG",22.58,22.58,22.57,22.57,22.88,22.96,22.95,22.95,23.37,23.37,23.34,24.02,24.13,24.29,24.66,24.53,24.6,24.62,24.95,25.34,25.81,26.59,27.13,27.52,28.77,31.12,32.87,35.54,39.83,45.52,49.14,51.44,51.47,49.69,47.02,44.47,45.7,47.31,48.2,49.25,50.97,51.92,52.22,52.87,54.06,55.22,56.54,57.89,61.41,64.63,67.5,73.3,78.74,80.46,81.32,81.74,82.29,82.35,81.22,80.57,81.28,79.54,77.24,75.95,74.97,74.69,74.81,72.8,73.98,74.62,73.25,72.24,69.67,70.3,69.99,69.62,70.75,71.47,72.81,72.43,73.83,76.37,79.41,81.71,85.53,92.77,93.6,97.46,99.53,99.33,96.85,94.67,92.39,93.63,94.39,93.44,92.47,91.52,89.9,89.02,90.08,91.16,91.63,90.5,91.66,91.37,89.9,90.76,91.92,92.82,94.26,97.47,100.13,100.88,102.67,102.04,99.96,100.32,99.94,99.79,101.16,102.22,102.59,101.19,99.25,98.13,96.28,94.38,95.19,96.38,98.6,98.67,102.48,103.31,102.83,101.1,101.54,101.03,98.42,94.11,93.84,95.49,95.75
"90","79","    Nondurable goods","B696RG",26.98,26.98,26.98,26.98,27.38,27.38,27.38,27.38,27.79,27.79,27.79,28.59,28.84,29,29.48,29.23,29.31,29.3,29.71,30.12,30.62,31.43,31.9,32.37,33.76,36.07,38.15,41.63,45.99,52.63,57.07,59.57,59.47,57.37,54.28,51.56,53.15,55.14,56.38,57.52,59.49,60.43,60.82,61.37,62.74,64.11,65.49,67.03,71.04,74.84,78.09,84.71,90.44,92.5,93.68,94.17,94.54,94.65,93.44,92.7,93.38,91.51,88.77,87.22,86.36,86.03,86.2,83.94,85.15,85.81,84.22,83.2,80.22,79.02,78.86,77.27,77.27,76.74,76.64,76.16,77.7,79.83,81.39,84.03,87.34,89.23,89.84,91.11,93.61,94.16,93.17,93.01,93.66,92.73,92.45,94.09,96.2,93.95,91.54,91.25,91.58,90.78,91.25,92.5,90.48,90.5,89.89,89.46,89.93,90.53,92.76,95.87,98.65,101.62,102.46,102.98,102.43,99.58,98.39,99.61,100.66,96.13,97.04,98,94.8,93.59,91.84,91.3,89.95,89.63,92.03,94.92,95.54,100.64,106.89,115.12,121.67,110.68,99.04,94.28,92.47,97.59,98.16
"91","80","  Petroleum and products","B648RG",11.61,11.79,12.14,11.96,11.61,11.79,11.61,11.96,11.79,11.79,11.61,11.61,11.79,11.79,11.96,12.31,12.57,12.92,13.27,13.27,13.27,13.62,13.62,13.88,14.41,15.19,16.85,22.09,46.98,59.72,59.9,59.29,59.11,58.59,58.07,59.38,61.56,62,62.35,63.48,66.27,67.76,67.76,68.28,67.75,67.41,67.32,67.59,70.99,83.04,106.71,120.15,142.59,155.86,158.99,163.99,176.29,182.04,170.01,165.72,163.72,156.29,159.88,158.12,141.47,142.16,145.81,143.64,143.65,145.22,142.51,141.1,136.56,137.87,131.49,133.95,110.11,67.41,58.41,65.05,80.07,88.71,92.12,87.23,77.27,77.02,72.21,65.58,78.53,93.16,85.25,89.84,99.01,80.87,101.49,146.59,102.71,88,85.52,91.86,77.48,88.73,94.07,90.82,83.41,86.63,77.27,71.56,64.44,74.58,81.66,77.09,81.34,89.04,80.85,81.25,88.63,98.52,99.02,112.81,107.99,91.13,89.29,89.97,70.41,63.45,58.72,57.88,52.63,74.69,94.67,112.06,132.43,132.98,145.16,146.64,127.74,122.88,119.36,93.36,93.17,122.01,129.5
