"","Table 1BUC# Current Dollar Manufacturing and Trade Inventories, ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219"
"49","41","  Nondurable goods merchant wholesale industries","N804RC0",90687,90637,90899,90963,90887,91482,91853,92719,93270,94622,95936,95668,94966,95788,96262,95876,96433,96426,96215,95808,96169,96346,98083,97580,97530,98327,98628,99804,98889,98151,99642,101079,101742,102977,103723,103996,105632,106447,107502,107915,108057,107770,107661,107728,108827,110987,112313,112995,112453,113002,113224,114463,115902,116611,115418,116325,116524,115099,115560,115843,116486,116435,117341,117019,117644,119109,121288,121983,123222,123152,122293,124060,124445,124268,124059,123327,122614,122355,123271,123584,125162,128282,129599,129845,129798,131213,131426,131178,131588,131164,133229,132381,131294,133778,135000,134329,136650,137389,139011,140446,139879,139815,140586,142570,144906,144893,144885,146635,146960,147720,148149,148913,150459,151672,152681,154455,153461,153941,158619,157384,156910,158820,160923,162764,163134,165217,167176,168784,173228,176393,181738,186218,188625,191079,191008,193524,194508,200018,203112,201925,195691,186072,179780,176155,175774,175664,174924,176154,177893,175328,172931,172117,170751,173876,181965,182970,183170,182837,182589,183574,184052,184577,188334,192774,199092,209417,210028,213592,216633,219028,222219,224532,228371,228498,228365,227199,221681,223709,222729,224404,223328,227315,225672,224570,222281,223670,230260,234939,238892,232974,235109,235614,238786,237197,235877,234746,234971,236324,233810,232734,233458,236487,238101,236685,239856,240970,245703,249847,248564,247015,244884,245046,243476,246479,247922,246731
"50","42","    Paper and paper products wholesalers","S42210",6801,6804,6748,6757,6858,6735,7039,7296,7285,7337,7452,7622,7472,7652,7752,7772,7612,7584,7551,7408,7327,7150,7210,7265,7135,7061,7221,7323,7228,7252,7382,7414,7510,7592,7709,7618,7761,7687,8006,8193,8209,8143,8188,8201,8215,8433,8467,8482,8276,8305,8205,8248,8204,7910,7725,7546,7491,7507,7440,7344,7233,7098,7042,7105,7222,7228,7157,7145,7228,7268,7404,7442,7261,7371,7318,7492,7552,7479,7466,7383,7276,7325,7327,7468,7379,7409,7599,7750,7845,8170,8436,8525,8538,8600,8506,8691,8728,8780,8646,8809,8904,8920,8798,9044,9021,9040,9264,9306,9193,9375,9429,9655,9767,9698,9792,9781,9866,9772,9643,9737,9679,9627,9420,9566,9514,9621,9914,9785,9827,9988,10039,10108,10126,10183,10290,10209,10097,10356,10698,10672,10785,10927,10791,10711,10578,10257,9945,10026,9802,9574,9679,9519,9368,9357,9395,9397,9465,9461,9432,9615,9850,9970,9967,9924,9915,10054,10018,10201,10218,10056,10083,10203,10273,10289,10367,10081,9999,10199,10162,10243,10364,10158,10028,10288,10264,10395,10428,10326,10280,10411,10341,10433,10314,10219,10265,10454,10488,10497,10640,10500,10378,10608,10522,10556,10732,10555,10479,10666,10640,10682,10653,10507,10507,10635,10462,10580
"51","43","    Drugs and druggists' sundries wholesalers","S42220",12652,12447,12690,12469,12711,13025,13192,13691,13836,13540,14009,14120,14180,14660,15061,15215,15482,15153,15237,15358,15358,15603,16026,16238,16397,16575,16662,17319,17636,17996,18425,18766,18774,19565,19698,19933,20503,20795,21217,21459,21450,22194,22722,22820,23162,23561,23772,24643,24471,24278,25278,26104,27224,27932,27656,28773,30126,29968,30968,31794,32095,32172,32353,32208,32080,32560,32105,31953,32304,32955,32491,33303,33106,33179,33272,33627,33532,32892,33800,33932,33431,33857,34518,34110,33789,34419,34552,33620,33931,33999,34596,34503,34126,34522,34979,34654,35684,34880,34859,34849,34863,34559,33751,33363,34127,33712,33449,34236,33487,34221,34731,34620,34457,35645,35115,36891,35948,34260,35414,35662,35622,35504,35349,36224,36592,36758,36498,37506,37215,36843,37576,37668,37805,37744,37772,37647,38097,37565,39443,40248,38655,39218,39589,38966,39312,40324,39389,39716,39621,38765,39065,39102,38920,39875,39808,40010,40516,40453,40515,40949,41563,41900,42052,42165,42418,42400,41943,42755,42136,42131,43048,43137,42338,43453,43306,43159,44538,43843,44195,44974,44070,44526,45360,44525,45244,45327,46410,47001,46832,45002,47450,46787,48945,47737,47979,48212,49395,49966,49625,50662,50868,51604,52405,52952,54385,55324,55523,56815,57567,57988,59601,60526,59417,61872,63416,63679
"52","44","    Apparel, piece goods, and notions wholesalers","S42230",11715,11800,11890,11939,12023,12238,12274,12264,12249,12825,12956,12986,13161,12945,13015,13126,13089,13184,13077,13246,13150,13213,13313,13219,12899,13608,13153,12942,12729,12370,12347,12278,12108,12134,12307,12519,12739,12576,12441,12558,12625,12264,12456,12338,12510,12458,12531,12566,12798,13259,13252,13354,13407,13401,12982,12857,12840,12954,12668,12509,12842,12711,12526,12194,12323,12685,12888,13199,13619,13258,13250,13527,13530,13374,13661,13812,13673,13904,13836,13601,13369,13053,13327,13370,13169,13294,13406,13326,13502,13180,13380,13718,14091,14316,14934,14204,14556,14579,14712,15039,15063,15124,15086,15196,15354,15699,15825,15647,15345,15645,15750,15718,15723,15654,15775,15697,15786,15627,15548,15805,15940,15859,15905,15480,15816,16092,16278,16390,16276,16361,16282,16332,16413,16462,16978,16530,16350,16373,16232,15898,16473,16573,16516,16969,16863,16814,16477,16214,15913,15484,15058,14675,14464,14050,14096,13781,13965,14151,14083,14071,14246,14486,15171,15599,16403,16741,17093,16990,17444,17466,17775,17620,18323,18836,19546,19513,19118,18840,19016,18982,18905,18818,18758,18820,19083,18585,18187,17778,17466,17432,17267,17688,17394,17966,18322,18090,18073,17937,17736,17710,17981,18055,18277,18642,18888,18810,19136,19338,19424,19425,19882,20104,20328,20365,20089,19976
"53","45","    Grocery and related products wholesalers","S42240",16718,16667,16705,16487,16687,16784,16724,16677,16708,17310,17443,17481,17538,17681,17223,17741,17938,17599,17641,17601,17466,17379,17512,17380,17488,17705,17727,18069,17921,17341,17791,17862,18112,18438,18802,18613,18422,18459,18380,18486,18423,18147,18164,18126,18511,18855,19294,18730,18674,18636,18541,18499,18203,18266,17805,17988,17756,17193,17334,17535,17709,17719,18028,17934,18302,18906,19037,19157,18615,18929,18501,18676,19189,19135,18900,18554,18187,18176,18360,18410,18862,18459,18251,18725,18259,18311,18600,18842,18980,18914,19102,18951,18829,19666,19819,19256,19547,19677,19733,19941,19888,19545,19522,19897,20284,20539,20905,21312,21093,21049,20885,20940,20712,21283,21700,22219,22353,22183,22748,22773,23017,23731,24471,24530,24776,24912,24850,24579,24769,24928,25268,25716,25869,25486,25822,26257,26520,26814,27134,27676,27668,27861,27409,27388,27033,26666,26079,26458,26107,26010,25684,25275,25854,25938,26315,26410,26240,27013,27041,27241,27393,27762,27967,28205,27834,28073,27854,28802,29485,29596,30336,30091,30390,30350,30743,31296,31725,31960,31695,32002,31847,32251,31899,31492,32462,32433,32362,32070,32188,32372,33114,33139,33706,33566,33769,33617,33386,33378,33607,34013,34400,34190,34039,33794,33847,33844,34891,35640,35064,35212,35633,35405,35938,36291,36133,36262
"54","46","    Farm product raw material wholesalers","S42250",12902,13459,13760,14057,13671,13564,13705,13297,13184,14081,14534,13480,13311,13410,13345,12621,12452,12954,12656,12263,12522,12937,13032,12481,12249,12151,12204,12479,12326,11985,11760,12575,12707,12745,12359,12226,12776,13073,13584,13685,13712,13076,12252,12040,12450,13240,13583,13839,13725,13614,13222,13075,13185,13305,13904,14030,13689,13362,13482,13460,13431,13307,13194,12852,12770,13265,15071,15645,16004,15164,15056,14848,14694,14418,14019,14015,14364,14388,14206,14595,15654,18939,18954,18318,18873,19142,19258,19098,18233,17142,15651,14643,13776,13240,12815,12847,13125,13647,14586,14785,14498,14859,15478,15334,14797,14635,14471,14718,14702,14759,14640,14967,15531,15660,16196,16153,16069,19598,21961,20537,19549,19503,19622,18981,19345,20280,21539,23293,25969,27282,29172,30980,33023,34534,34609,35173,35249,37778,36686,35004,30809,26044,23907,22551,22966,22105,23423,24638,27245,25311,23468,22397,20900,22589,27638,26772,25354,24690,24161,23920,24433,24507,26587,29319,33675,41663,41344,41568,42913,42959,42738,43534,45179,43899,42985,42963,38422,38928,37628,36823,37087,38644,39059,38346,35866,39692,44915,47002,49589,46404,45154,44090,44201,42587,41948,41164,40689,41732,39081,35630,35470,36348,37532,36501,36754,38314,40478,41804,40180,37488,33829,33223,33057,33880,35759,36398
"55","47","    Chemical and allied products wholesalers","S42260",4529,4630,4672,4555,4448,4736,4766,4774,4636,4630,4770,4733,4776,4717,4735,4879,5062,4819,5026,4939,4939,4882,5046,5084,5167,5244,5209,5248,5307,5270,5439,5301,5268,5264,5306,5464,5387,5470,5571,5536,5525,5562,5616,5522,5326,5272,5308,5419,5339,5301,5488,5648,5598,5565,5553,5402,5453,5444,5372,5418,5368,5489,5569,5579,5715,5670,5631,5763,5785,5785,5879,5941,6164,6215,6100,5958,6043,6062,6129,5925,5939,5894,5862,6222,5898,6139,6169,6291,6477,6553,6799,6799,6855,6948,6956,6930,7008,7210,7253,7450,7327,7354,7329,7435,7517,7684,7756,7769,7863,7754,7798,7830,7858,7994,7899,8001,7922,7730,7768,7865,8136,8168,8154,8151,8114,8526,8702,8439,8518,8426,8800,8921,8901,9163,9357,9613,9681,9745,10427,10531,10377,10004,9460,9354,8989,9033,8672,8433,8309,8436,8464,8349,8421,8231,8301,8337,8499,8749,8683,8769,8788,8986,9209,9216,9339,9193,9373,9731,9948,10033,10274,10498,10847,11027,11095,11172,11003,10879,10704,10912,10688,10925,11071,11169,11138,10940,11112,11132,11349,11472,11354,11799,11557,11717,11489,11227,11455,11562,11655,11408,11480,11532,11731,12327,12140,11913,11944,12019,11988,12412,12335,12084,12419,12240,12179,12284
"56","48","    Petroleum and petroleum products wholesalers","S42270",5440,5372,5141,4969,4923,4702,4664,4629,4712,4704,4636,4572,4324,4001,3967,4029,4158,4049,3998,3950,4218,4098,3953,3823,3877,3846,3909,4032,3942,4082,4312,4367,4597,4696,5017,5070,5334,5546,5623,5418,5337,5715,5636,5824,5758,5928,6277,5928,5746,5829,5764,5869,6190,6017,5845,5748,5609,5335,5238,5092,5200,5361,5689,5945,5744,5492,5687,5624,5981,5896,5892,6432,6807,7010,6818,6197,5921,6168,6105,6464,6557,6605,6796,7079,7239,7491,7341,7399,7582,7792,9171,9504,9526,10335,10269,10568,10531,10792,11687,11384,11199,11016,12476,13812,15088,14908,14569,14695,16463,16282,15744,15903,16995,16669,17189,16413,16156,15400,16065,15252,14929,15338,16174,17524,17593,17560,17281,16921,18187,19554,21134,22628,21583,21919,20011,21519,20887,23028,23779,22956,21404,16198,13513,12235,13092,13373,13839,14087,14994,15900,15708,17474,18065,19099,21589,23660,24053,23495,23627,24114,22596,21931,22126,22628,23354,24858,25085,26076,26858,28693,29358,30303,31145,30279,29999,28768,26847,28249,28669,29123,28960,30639,28529,28866,26687,24441,24245,26632,27979,26850,27206,27897,28518,28743,27124,26586,26347,26342,27383,28097,27739,28280,27368,26892,27142,26353,26805,26548,26935,27271,26169,25920,24355,23364,21690,18933
"57","49","    Beer, wine, and distilled alcoholic beverages wholesalers","S42280",4897,4737,4608,4817,4668,4941,4907,4976,5081,4909,4922,5232,5079,5184,5494,5105,5082,5269,5159,5283,5335,5441,5697,5482,5578,5769,6083,5805,5994,5816,5943,5900,5756,5747,5718,5789,5878,5918,5860,5930,6046,5893,5908,5965,5992,6047,6079,6165,6154,6150,6085,6099,6076,6232,6116,6107,6183,6146,6012,6058,6166,6126,6312,6373,6351,6253,6282,6100,6350,6485,6562,6578,6569,6495,6608,6507,6567,6581,6653,6417,6668,6701,6944,6941,6984,6963,6951,7034,7002,7091,7120,7105,6964,7005,7165,7434,7609,7711,7682,7761,7729,7771,7661,8051,8077,8240,8287,8221,8122,8066,8426,8532,8701,8515,8478,8563,8677,8677,8854,8977,9218,9239,9167,9433,9298,9439,9805,9548,9972,10010,10013,10176,10412,10595,10586,10426,10673,10760,10884,10842,11159,11256,11306,11482,11324,11370,11640,11483,11324,11539,11204,11308,11047,11072,11179,10853,11068,11026,10950,10730,10929,10955,11158,11291,11194,11150,11301,11439,11269,11585,11783,11905,11988,12008,11857,11990,11930,12403,12347,12408,12564,12569,12476,12581,12912,12797,13274,13337,13409,13307,13323,13495,13607,13610,13748,14039,13995,13990,13883,13970,14177,14221,14279,14346,14570,14435,14600,14829,14760,14826,14942,15000,15157,15067,15075,15309
"58","50","    Miscellaneous nondurable goods wholesalers","S42290",15033,14721,14685,14913,14898,14757,14582,15115,15579,15286,15214,15442,15125,15538,15670,15388,15558,15815,15870,15760,15854,15643,16294,16608,16740,16368,16460,16587,15806,16039,16243,16616,16910,16796,16807,16764,16832,16923,16820,16650,16730,16776,16719,16892,16903,17193,17002,17223,17270,17630,17389,17567,17815,17983,17832,17874,17377,17190,17046,16633,16442,16452,16628,16829,17137,17050,17430,17397,17336,17412,17258,17313,17125,17071,17363,17165,16775,16705,16716,16857,17406,17449,17620,17612,18208,18045,17550,17818,18036,18323,18974,18633,18589,19146,19557,19745,19862,20113,19853,20428,20408,20667,20485,20438,20641,20436,20359,20731,20692,20569,20746,20748,20715,20554,20537,20737,20684,20694,20618,20776,20820,21851,22661,22875,22086,22029,22309,22323,22495,23001,23454,23689,24493,24993,25583,26150,26954,27599,27829,28098,28361,27991,27289,26499,25617,25722,25460,25099,24578,24309,24601,24018,23712,23665,23644,23750,24010,23799,24097,24165,24254,24080,24097,24427,24960,25285,26017,26030,26362,26509,26824,27241,27888,28357,28467,28257,28099,28408,28313,28937,28843,28785,28492,28483,28625,29060,29327,29661,29800,29724,29900,30286,30544,31052,31233,31357,31143,30920,30200,30744,30965,31649,31948,30675,31398,31422,31847,32188,32006,31711,31840,32277,32298,32765,33119,33310
"59","51","Retail trade industries","N382RC0",328691,331330,329293,332810,333543,332460,334120,332799,335020,336018,336823,336519,336831,339051,343014,346471,344218,343541,344074,343040,344856,346216,349306,349918,353451,354926,358232,359838,360937,363161,364661,365742,367726,370798,374067,378611,378095,379478,381762,384160,388418,391353,392926,395525,396413,399566,401338,401620,400526,397210,396139,397278,398102,396942,396804,398523,398456,388199,382832,386748,390090,391076,391197,391501,394407,397067,398548,398000,402358,404512,408967,410737,412809,415813,418894,419627,418342,419227,420766,418080,423234,424910,428282,428779,430836,433786,439021,445407,447705,449015,449593,453069,455364,460026,463163,464892,467534,471055,471347,470270,470085,468729,462111,465974,471177,474103,475025,477222,478347,475997,480839,478515,483473,485579,485337,488792,489459,485424,486799,492212,491008,494434,493768,496777,497106,498526,501941,506303,505782,510693,511270,513406,513809,512691,509063,507844,507958,508930,515699,509574,505999,502177,493669,486796,478222,473637,468748,466915,461040,457339,451672,440768,443542,445280,444645,445849,447636,449468,452212,455277,456144,459509,462211,465752,470133,470752,472092,475806,478013,477970,485233,487397,487858,488152,488403,492340,492538,492249,495217,494708,497691,500861,505319,508081,512671,515551,520485,524226,524005,525869,526463,528630,535330,537544,534805,536512,538505,540322,542561,544088,548581,551467,557826,560132,563141,564788,565320,567106,568969,571351,576748,575892,575911,576505,573396,573861
"60","52","  Motor vehicle and parts dealers","N864RC0",101470,102435,101646,103747,103477,102387,103388,103198,102988,104202,105019,104186,104337,105375,106714,109129,108637,105353,104905,103549,104568,105698,107277,106772,108841,110112,112103,112139,112430,112817,113643,113473,114347,116749,118173,119945,120021,119249,120253,122577,124327,126691,128735,129633,130633,131813,132648,133204,131844,128291,126628,127553,128260,128212,129573,129610,130079,119980,117429,122348,124812,125942,126458,126611,128416,130579,129904,128972,131081,133732,137329,137293,139090,140406,142376,143440,143633,144296,144389,142044,144242,144216,146267,146457,147747,148805,150509,153725,153862,154235,154486,155630,156388,158650,158828,158263,158396,160217,159072,158036,156981,154658,148829,150019,153491,156116,155594,155341,154807,153874,155983,153775,156208,156375,155044,155216,155932,151619,151434,154420,152104,152034,151337,153413,151642,152766,156247,159287,158201,159538,160143,158447,157581,156524,155874,152971,153201,153325,157369,152318,149533,147672,146486,145197,138697,135339,132944,132445,128040,124776,119985,110697,115108,115154,115119,115425,117470,119502,119383,120423,121477,124899,127076,129692,131857,131315,130116,129901,130271,129519,131878,133539,133578,133152,133919,134886,134523,134271,136127,135644,138694,140484,144368,147245,149744,152413,155802,157549,157177,156737,157010,158677,160509,161801,162048,162464,163967,165448,165860,166227,169660,172351,175968,176980,177322,178083,177347,179057,180169,180992,184866,183981,183473,183274,181065,181645
"61","53","  Furniture, furnishings, electronics, and appliance stores","S44230",24894,24728,24328,23838,23991,23678,23636,23163,23115,23157,23009,22818,22445,22462,22628,22570,22263,22073,21925,21635,21498,21567,21641,21495,21561,21707,21438,21621,21520,21759,21971,22006,22026,22053,22084,22440,22215,22419,22797,22727,22852,23334,23196,23384,22868,23214,23855,23414,23238,22831,23058,23026,22689,22282,22028,21911,21745,21868,21918,21794,22273,22330,22284,22212,22564,22318,22637,22551,22957,22979,22963,22948,22990,23080,22907,23106,23103,23552,23517,23507,23755,24220,24245,24154,24088,24435,25093,25445,25836,25748,25921,26371,26257,26002,26406,27261,27039,27059,27229,27361,27828,28050,27802,27765,27438,27156,27289,27628,27787,28012,28191,28128,28227,28187,28088,28061,28064,27964,28031,28192,28468,28775,28669,28461,28355,28514,28603,28534,28737,29223,29316,29156,28743,28497,27960,28117,27617,27677,28216,28184,28301,28353,26316,25858,25639,25335,25054,24996,24697,24507,24286,24206,24266,24717,24042,23901,23940,23836,24159,24297,24782,24876,24880,25019,25240,25224,25462,25613,25445,25089,25493,25464,25201,25299,25261,25355,24990,25045,24934,24974,25113,25134,25241,25330,25646,25815,25759,25706,25610,25868,25994,25916,26074,26828,25931,25688,25548,25225,25243,25254,25511,25531,25467,25797,25239,26208,25749,25962,26056,26288,26229,26425,26007,25637,25879,26022
"62","54","  Building material and garden equipment and supplies dealers","S4440",32108,32225,32420,32575,32737,32971,32964,33085,33401,33214,33203,33519,33628,34075,34084,34164,33703,34241,34518,35042,35022,34949,35289,35431,35672,35839,36078,36228,36329,36614,36878,36913,36849,37102,37268,37734,37858,38102,38052,38372,38369,38487,38649,38880,38955,38957,39254,38965,39139,39051,38975,39051,39340,39194,38839,39102,39082,39186,39042,39016,39271,39289,39726,40032,39982,40064,40118,40235,40631,41267,41063,41297,40855,41481,41647,41409,41371,41586,41661,41859,42658,42640,42818,42975,43053,43574,44203,44989,45714,45937,46309,46610,46620,47227,47380,48041,49297,49146,48735,48311,48578,48604,48473,48634,49438,49996,50823,51621,52188,51238,51837,52024,52188,52594,53257,54068,53704,53488,53438,53202,53115,53556,52766,54525,54545,54849,54817,54743,54210,54909,55064,55340,55583,55188,54635,55182,55495,55792,56076,56235,55881,55150,54571,53150,52311,51977,51737,51104,50648,50149,49989,49884,49931,49806,49108,49875,49577,49572,49801,50197,50685,50104,49706,49536,49700,49899,50365,50802,51260,51451,51924,52015,51990,52005,51969,52067,52342,52508,52550,52275,52877,53172,52961,53138,53433,53437,53654,53854,53891,54027,53815,53703,54632,54693,54717,54873,54977,55077,55306,55738,56085,56246,56727,56621,56910,56984,57260,57201,56975,57281,57611,57795,58315,58713,58512,58506
"63","55","  Food and beverage stores","N239RC0",27420,27496,27676,27626,27747,27627,27492,27859,28066,27959,28078,27832,27921,27833,28121,28423,28364,28602,28826,28782,28713,28749,29077,29228,29617,29567,29611,29511,29882,30106,30220,30483,30866,30901,30839,30925,30816,30876,31016,31169,31409,30763,30525,30539,30881,31058,30824,30999,31290,31605,31719,31826,31878,31909,31804,31942,32105,32190,32144,32104,32205,32536,32496,32024,31854,31988,32016,32225,32639,32097,32260,32797,32726,32825,32966,32888,32776,32531,32745,32973,33655,33619,33716,33772,33684,33545,33909,34365,34746,34560,34418,34429,34810,35177,35368,35095,35308,35389,35416,35464,35409,35240,34967,35121,34889,35308,35637,35828,35852,35598,35544,35674,35828,36002,36424,36848,37107,36997,37047,37449,37739,38052,38609,38274,38453,38616,38783,39351,39798,40563,40903,41569,41828,42080,42219,42562,42745,43098,43257,43297,43319,43347,42901,42384,42549,42373,42343,42298,42340,42150,42108,41715,41939,42428,42950,42653,43091,43326,43892,43686,43212,42890,42774,42885,43220,43505,44004,44711,45438,45797,45775,45690,45522,45796,46153,46482,46624,46643,46834,46847,46664,46888,47346,46891,46896,47145,47388,47646,47969,47906,48287,48584,48821,48937,48687,48799,49130,49284,49499,49544,49466,49621,49841,49709,49701,50231,50771,51657,51675,51698,51872,51938,52051,52339,52375,52568
"64","56","  Clothing and clothing accessories stores","S4480",26412,26716,26126,26905,27033,26926,27033,26887,27297,27285,27232,27500,27684,27621,28024,28154,28015,28323,28399,28489,28878,28808,28824,28786,29063,29305,29107,29212,29318,29546,29292,29242,29038,29278,29572,30137,29621,30240,30650,30888,31393,31152,31538,31982,31970,32509,32515,32769,32513,32743,32649,32513,32274,32360,32135,32106,32307,32642,31818,31639,31854,31495,31224,31663,31766,32209,32775,32766,33033,32998,33120,33645,34125,34113,34261,34015,34010,33931,34132,34203,34159,34116,34611,34652,34815,34991,35081,35649,35882,35910,35996,36476,36681,37055,37382,37448,38049,38454,38658,38461,38327,38785,38783,38971,39282,39607,39371,39322,39359,39832,40665,41149,41776,42111,42289,42559,42812,43002,43519,44324,44455,45145,44701,44306,44399,44066,44008,44169,44489,44316,44277,44497,44626,44705,44368,44521,43927,43829,44114,43765,43736,43627,43228,42720,42361,42638,41828,41370,41145,40897,40473,39963,39334,39150,38996,38517,38301,38289,38464,38839,39025,39149,39331,39373,39483,39731,39704,40588,40858,41269,41910,42176,42678,42476,42449,43185,43514,43643,43452,42944,42897,42826,42906,42487,42682,43321,43593,43675,43650,43747,43923,43959,44417,44695,44397,45058,44769,44552,44641,44924,45204,45179,45603,46054,46571,46465,46592,46446,46784,46841,47073,46915,47182,47340,47226,47736
"65","57","  General merchandise stores","N240RC0",57593,58091,57874,58522,58526,58684,58607,58186,58429,58046,57932,58252,58345,58398,58528,58659,57804,58686,59023,59056,59451,59535,59476,59404,59415,59572,60106,60520,60630,60726,60957,61272,61443,61169,62113,62433,62719,63026,62659,62764,63074,63352,63000,63094,63146,63621,63555,63730,64093,64271,65353,65080,65557,65635,65083,66016,65615,65566,64812,64166,63976,64149,63589,63431,63922,63541,64510,64721,64691,64712,65739,66115,66136,65947,66483,67489,66952,67024,67412,67004,67950,68843,68339,68562,68893,69467,70441,70879,71184,71775,71449,71824,71955,72319,73382,74201,74476,74787,76213,76210,76513,76514,76173,77193,77352,77085,77362,78037,77665,77034,77524,76180,76963,77274,78109,78861,78892,79406,79916,80222,80627,81275,81191,81525,81794,81701,81275,81502,81455,81928,81139,82431,83183,83368,81781,82440,82350,82182,82776,82478,82838,82873,82167,80879,80218,79689,79773,79323,79125,79268,78817,78237,77846,78453,78372,78282,77904,77415,78745,79371,79253,79691,80271,80504,81055,81155,81826,82197,82355,82654,84901,84906,85110,85628,85582,86582,86741,86591,86831,87382,87304,87631,87135,87367,88180,87888,88224,88832,87920,89450,89202,89883,91325,90568,89816,90003,89770,89722,90018,89541,89710,89795,90005,89962,90796,90255,91226,90420,90532,90775,91149,91213,91509,91183,90970,91061
"66","58","    Department stores","S45210",41516,41875,41851,42248,42222,42385,42231,41935,42115,41960,41863,42098,42042,41953,41952,41907,41154,41760,42038,41933,42033,41870,41689,41535,41661,41463,41814,41977,41928,41903,41945,41948,41846,41512,42217,42311,42363,42504,42071,42053,42189,42160,41660,41648,41498,41907,41767,41687,41863,41837,42340,42169,42211,42051,41353,41844,41718,41149,40480,39948,39404,39423,38927,38523,38365,38261,38526,38410,38155,37815,38380,38517,38302,37846,38133,38788,38167,38005,37782,37439,37766,38050,37488,37465,37628,37667,37959,38117,38172,38185,38105,38226,37990,38307,38481,38639,38702,38845,39958,39157,39061,39222,39286,39416,39366,39178,39168,39697,39129,38694,38853,38554,38520,38276,38450,38696,38712,38657,39093,39163,39263,39421,39083,39316,39106,39207,39079,38969,38866,39190,38376,38974,38627,38861,38297,38067,38008,37591,37620,37266,37474,37591,36820,36270,35614,35485,35524,35234,35033,35252,34838,34723,34581,34612,34256,34133,34701,34611,34498,34815,34794,34992,35449,35522,35443,35786,36485,36497,36555,36583,37025,36910,37041,36849,36853,37130,37187,37024,37003,36905,36213,35773,34968,34983,34716,34331,33960,33622,32473,32897,32474,32460,32887,33254,33360,33812,33991,34246,34591,34750,35121,35500,35782,36151,36414,36095,36208,35572,35545,35479,35341,35409,35468,35442,35346,34965
"67","59","    Other general merchandise stores","S45290",16077,16216,16023,16274,16304,16299,16376,16251,16314,16086,16069,16154,16303,16445,16576,16752,16650,16926,16985,17123,17418,17665,17787,17869,17754,18109,18292,18543,18702,18823,19012,19324,19597,19657,19896,20122,20356,20522,20588,20711,20885,21192,21340,21446,21648,21714,21788,22043,22230,22434,23013,22911,23346,23584,23730,24172,23897,24417,24332,24218,24572,24726,24662,24908,25557,25280,25984,26311,26536,26897,27359,27598,27834,28101,28350,28701,28785,29019,29630,29565,30184,30793,30851,31097,31265,31800,32482,32762,33012,33590,33344,33598,33965,34012,34901,35562,35774,35942,36255,37053,37452,37292,36887,37777,37986,37907,38194,38340,38536,38340,38671,37626,38443,38998,39659,40165,40180,40749,40823,41059,41364,41854,42108,42209,42688,42494,42196,42533,42589,42738,42763,43457,44556,44507,43484,44373,44342,44591,45156,45212,45364,45282,45347,44609,44604,44204,44249,44089,44092,44016,43979,43514,43265,43841,44116,44149,43203,42804,44247,44556,44459,44699,44822,44982,45612,45369,45341,45700,45800,46071,47876,47996,48069,48779,48729,49452,49554,49567,49828,50477,51091,51858,52167,52384,53464,53557,54264,55210,55447,56553,56728,57423,58438,57314,56456,56191,55779,55476,55427,54791,54589,54295,54223,53811,54382,54160,55018,54848,54987,55296,55808,55804,56041,55741,55624,56096
