"","Table 2AUI# Implicit Price Deflators for Manufacturing and Trade","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207"
"11","3"," Durable goods","PSMD3",31.135,31.199,31.205,31.217,31.187,31.205,31.278,31.393,31.415,31.586,31.769,31.882,32.023,32.226,32.329,32.308,32.289,32.361,32.403,32.428,32.543,32.744,32.83,32.953,33.142,33.325,33.429,33.415,33.453,33.407,33.478,33.641,33.799,34.013,34.167,34.27,34.577,34.642,34.827,34.997,35.086,35.099,35.248,35.262,35.405,35.685,35.727,35.696,35.937,36.047,36.206,36.426,36.436,36.504,36.734,36.886,36.765,36.778,36.802,37.038,37.217,37.451,37.559,37.658,37.766,37.846,37.866,38.011,38.026,37.91,37.883,37.951,38.048,38.408,38.942,39.432,39.745,39.825,39.819,39.916,39.955,40.1,40.369,40.844,41.365,41.773,42.479,43.678,44.729,45.985,46.661,47.802,48.192,48.804,49.466,49.86,50.653,51.046,51.337,51.507,51.719,51.754,51.728,51.905,52.105,52.625,52.817,52.999,53.374,53.549,53.943,54.177,54.377,54.606,54.749,54.948,55.305,55.939,56.142,56.345,56.544,56.822,57.313,57.575,57.794,58.001,58.206,58.504,59.03,59.169,59.4,59.581,60.001,60.384,60.78,61.334,61.734,62.255,62.716,63.172,63.688,63.951,64.432,64.841,65.568,66.371,66.987,67.998,68.473,68.873,69.476,69.592,70.292,71.092,71.488,72.063,73.649,74.432,74.55,74.78,74.706,75.182,75.655,76.058,76.498,77.586,77.638,78.059,78.683,78.922,79.373,80.09,80.387,80.823,81.273,81.713,82.013,82.407,82.761,82.878,83.282,83.236,83.117,83.334,83.419,83.312,83.596,83.625,84.439,84.22,84.323,84.59,84.809,85.125,85.027,85.023,85.125,85.096,85.413,85.522,85.6,85.419,85.54,85.669
"12","4","  Lumber & wood products","PS243",19.841,20.095,20.02,20.11,20.115,20.185,20.281,20.443,20.837,20.626,20.557,20.79,20.956,21.487,21.879,22.214,22.47,22.562,22.859,23.103,23.516,23.92,24.257,25.302,25.993,27.15,27.926,27.089,26.263,25.107,24.377,24.134,24.037,23.941,24.125,23.861,23.712,23.474,23.328,23.475,23.628,23.493,23.42,23.493,23.447,23.18,22.969,22.82,23.053,23.928,24.939,25.242,25.381,25.662,26.455,27.19,27.102,26.701,26.628,26.875,27.253,27.766,28.054,28.357,28.61,28.848,29.238,29.595,29.679,29.844,29.904,29.955,30.168,31.855,33.919,35.633,36.639,36.108,35.267,35.47,35.967,35.713,36.477,36.716,36.345,36.43,37.701,39.313,39.127,38.324,37.639,36.834,36.322,34.318,33.542,33.463,33.425,34.235,34.311,35.214,36.73,36.418,36.246,36.251,36.331,36.206,36.052,36.895,38.292,39.31,40.524,40.753,40.69,40.267,40.897,41.567,42.499,42.7,42.898,43.842,44.312,44.746,45.301,45.799,46.304,46.495,46.723,47.446,48.627,48.922,48.789,48.981,49.901,51.199,52.054,52.798,53.764,54.901,55.426,55.463,55.969,56.505,56.928,56.736,57.039,58.105,59.445,60.384,60.572,60.525,60.113,60.329,60.89,61.68,61.285,60.572,60.999,61.215,61.39,60.144,59.417,59.72,60.099,60.588,60.909,60.96,61.334,61.493,61.738,61.338,61.345,61.65,61.807,61.915,62.041,61.93,61.759,61.795,61.611,61.625,61.769,61.813,61.797,61.702,61.438,61.503,61.462,61.21,61.149,61.098,60.986,61.168,61.554,62.018,62.121,61.924,61.731,61.654,61.822,62.516,62.436,62.693,62.807,63.015
"13","5","  Furniture & fixtures","PS253",28.649,28.758,28.833,28.84,28.841,28.821,28.921,29.017,29.01,29.109,29.288,29.288,29.553,29.651,29.731,29.841,29.996,30.104,30.195,30.188,30.292,30.453,30.62,30.694,31.106,31.209,31.294,31.295,31.448,31.535,31.72,31.709,31.8,31.888,31.995,31.886,32.07,32.352,32.444,32.445,32.583,32.578,32.673,32.768,32.769,32.767,32.856,32.948,33.096,33.456,33.455,33.454,33.717,33.719,33.822,33.906,33.898,33.909,33.72,33.718,34.097,34.263,34.266,34.361,34.443,34.446,34.547,34.687,34.606,34.594,34.747,34.887,35.042,35.128,35.306,35.855,36.003,36.269,36.268,36.409,36.6,36.863,37.291,37.431,37.975,38.247,38.393,39.123,39.716,39.852,40.274,40.635,41.233,42.042,42.591,42.58,42.869,42.869,42.763,42.857,42.771,42.766,42.874,42.857,43.044,43.496,43.666,44.032,44.407,44.314,44.398,44.549,44.734,45.084,45.226,45.314,45.682,46.14,46.393,46.764,46.809,46.821,47.13,47.472,47.755,48.117,48.158,48.958,49.134,49.201,49.471,49.762,50.321,50.379,50.912,50.918,51.137,51.464,52.138,52.616,52.689,53.238,53.524,53.776,54.649,55.206,55.388,55.465,55.87,55.987,56.296,56.475,56.992,57.397,57.805,58.27,58.82,59.314,59.512,59.376,59.841,60.277,61.021,61.509,61.599,62.198,62.537,62.83,63.272,63.648,63.967,64.274,64.583,65.015,65.308,65.633,66.033,66.23,66.721,67.07,67.356,67.793,68.005,68.28,68.4,68.534,68.563,68.687,68.789,68.95,68.896,69.153,69.279,69.456,69.564,69.622,70.016,70.303,70.485,70.612,70.841,70.976,71.132,71.201
"14","6","  Stone clay glass prod.","PS323",22.247,22.248,22.244,22.326,22.171,22.246,22.333,22.415,22.414,22.501,22.576,22.652,22.922,23.01,23.179,23.182,23.318,23.399,23.477,23.485,23.48,23.578,23.664,23.669,24.029,24.185,24.186,24.348,24.43,24.43,24.506,24.508,24.591,24.671,24.669,24.829,25.411,25.493,25.496,25.732,25.575,25.577,25.651,25.729,25.728,25.88,26.159,26.316,27.202,27.274,27.655,27.819,27.901,28.056,28.219,28.372,28.372,28.376,28.374,28.451,28.458,28.543,28.624,28.884,28.965,28.968,29.054,29.223,29.221,29.3,29.377,29.38,29.534,29.618,29.776,29.949,30.025,30.289,30.042,30.043,30.042,30.342,30.5,30.664,31.921,32.64,33.089,33.676,34.783,35.123,35.927,36.166,36.649,37.409,37.567,37.736,38.602,39.25,39.403,39.811,39.887,39.891,40.187,40.578,40.647,40.811,40.961,41.043,41.664,41.732,41.978,42.796,42.986,43.059,43.222,43.386,43.547,43.815,43.899,43.895,44.482,44.426,44.658,45.343,45.56,45.862,46.16,46.325,46.643,46.791,46.913,47.091,48.821,49.021,49.191,49.542,49.656,50.276,50.975,51.117,51.411,51.71,52.043,52.6,54.03,54.357,54.567,54.819,55.258,55.525,56.202,56.294,57.574,58.033,58.726,59.565,61.197,62.347,62.635,63.761,63.904,63.93,64.861,65.159,65.443,66.126,66.365,67.25,68.135,68.259,69.087,71.101,71.374,71.561,72.268,72.214,72.459,72.64,72.882,73.121,73.773,74.341,74.389,74.394,74.17,74.015,74.076,74.587,74.685,74.84,75,74.718,75.392,75.954,75.771,76.455,76.341,76.564,76.721,77.086,77.361,77.616,77.798,77.914
"15","7","  Primary metals","PS333",26.427,26.535,26.509,26.497,26.427,26.384,26.347,26.458,26.484,26.66,27.184,27.265,27.435,27.933,28.139,27.646,27.197,27.287,27.181,27.068,27.19,27.147,27.198,27.265,27.488,27.598,27.577,27.691,27.852,27.929,28.414,28.87,29.354,29.657,29.756,29.973,31.086,31.072,31.428,32.087,31.983,31.765,32.145,31.92,32.314,32.459,32.027,31.581,31.859,31.577,31.576,31.918,31.839,31.767,32.219,32.343,32.308,32.226,32.213,32.015,32.012,32.045,32.165,32.155,32.389,32.39,32.27,32.435,32.605,32.367,32.052,32.011,32.126,32.625,33.892,34.912,35.624,35.904,36.211,36.216,36.311,36.601,36.946,38.633,39.211,40.455,42.345,46.283,48.325,52.862,52.779,56.52,56.236,55.909,58.12,58.342,60.315,60.064,60.317,60.037,59.968,59.497,59.365,59.678,59.82,59.763,59.735,59.476,59.381,59.266,59.663,59.713,60.317,61.089,61.761,61.547,61.757,61.841,62.009,61.658,61.704,61.743,62.316,62.773,62.548,62.627,62.612,62.452,62.125,62.241,62.329,62.84,62.903,62.809,63.109,63.442,63.459,64.257,64.778,65.83,65.662,66.536,67.088,68.063,69.806,71.371,72.65,74.955,75.874,76.709,77.974,77.84,77.978,79.965,80.791,81.996,85.243,86.41,85.32,83.402,82.042,82.348,82.295,82.767,82.809,83.749,83.044,82.361,82.815,82.026,82.249,82.723,82.53,83.158,83.007,83.359,82.888,83.581,83.5,83.285,82.824,82.122,80.767,80.398,80.021,79.004,79.238,79.503,80.34,80.161,80.175,80.269,80.452,81.35,80.964,80.586,80.84,80.491,81.092,81.223,81.635,81.239,81.254,81.481
"16","8","  Fabricated metals","PS343",25.791,25.831,25.842,25.836,25.79,25.82,25.855,26.009,26.088,26.075,26.111,26.201,26.38,26.475,26.551,26.693,26.684,26.701,26.701,26.763,26.931,27.072,27.19,27.384,27.729,28.098,28.296,28.184,28.106,27.953,27.761,28.145,28.247,28.333,28.433,28.485,28.647,28.811,29.108,29.185,29.228,29.477,29.598,29.669,29.829,29.927,29.928,29.885,30.018,30.21,30.446,30.754,30.809,30.967,31.278,31.595,31.562,31.41,31.434,31.737,31.965,32.318,32.529,32.555,32.64,32.8,32.875,33.093,33.095,33.144,33.189,33.189,33.314,33.676,34.264,34.667,35.015,34.984,34.907,35.283,35.501,35.605,36.038,36.292,37.014,37.375,38.006,39.014,40.231,41.265,42.707,43.802,44.349,44.536,44.729,44.979,45.421,46.121,46.356,46.502,46.521,46.835,46.794,46.85,46.906,47.15,47.122,47.382,47.907,48.073,48.658,48.833,49.058,49.192,49.582,50.066,50.439,50.655,50.795,51.043,51.335,51.543,52.346,52.712,53.15,53.296,53.875,54.114,54.403,54.125,54.403,54.718,54.935,55.563,55.884,56.503,57.044,57.665,58.078,58.769,59.022,59.559,59.94,60.278,61.01,62.286,63.067,64.513,64.996,65.646,66.13,66.418,67.087,68.446,68.747,69.531,71.894,72.691,72.277,71.752,71.547,72.151,72.606,73.071,73.392,74.111,74.001,73.796,74.292,74.311,74.693,75.278,75.602,75.899,76.408,76.907,77.039,77.026,77.111,76.969,77.134,77.033,76.663,76.861,76.848,76.209,76.269,76.259,77.035,76.833,76.704,76.753,76.816,77.371,77.091,77.122,77.526,77.543,77.722,77.855,78.203,78.128,78.111,78.288
"17","9","  Industrial machinery","PS353",61.013,61.164,61.205,61.117,61.225,61.001,61.582,61.669,61.211,61.553,61.966,62.319,62.404,62.577,62.957,62.944,63.219,63.187,63.675,63.594,63.758,63.886,64.147,64.258,64.769,64.852,65.327,65.304,65.751,65.482,66.145,66.276,66.384,66.648,67.342,67.795,67.873,68.141,68.296,68.55,68.956,68.786,68.924,68.798,68.723,68.791,69.355,69.293,69.255,68.953,68.766,69.372,69.157,69.219,69.206,69.347,69.087,69.134,69.404,69.682,69.827,70.473,70.525,70.736,70.891,70.871,70.714,71.045,70.703,70.681,70.562,70.504,70.784,71.306,71.408,71.922,72.011,72.267,71.881,71.884,71.657,71.863,72.25,72.279,72.911,72.956,73.721,74.594,76.341,78.019,79.596,81.713,82.937,84.603,85.706,86.243,88.16,88.873,89.422,89.948,90.444,90.647,91.018,91.29,91.689,92.026,92.6,92.778,93.179,93.234,93.494,93.566,93.766,94.111,94.483,94.709,95.144,95.703,96.157,96.719,97.554,97.97,98.229,98.265,98.744,99.28,99.543,100.115,100.307,100.824,101.526,101.943,102.23,102.686,102.967,103.334,103.922,104.492,104.909,105.579,106.286,107.043,107.807,108.351,108.687,109.274,109.703,110.478,111.005,111.339,112.022,112.646,113.299,114.299,114.689,115.405,116.702,117.079,117.78,118.929,119.031,119.513,120.054,120.388,121.245,121.964,122.637,123.224,124.431,125.449,126.408,127.152,127.85,128.624,129.6,130.304,131.183,131.656,132.166,132.935,133.585,133.972,134.099,134.252,134.471,134.423,134.748,134.704,134.524,134.409,134.045,133.533,133.195,132.775,132.29,131.933,131.645,131.087,130.593,129.947,129.625,129.358,129.251,128.8
"18","10","  Electronic machinery","PS363",37.637,37.632,37.642,37.698,37.767,37.776,37.852,37.827,37.832,37.888,37.947,38.094,38.177,38.283,38.338,38.394,38.49,38.478,38.534,38.579,38.665,38.651,38.576,38.527,38.496,38.568,38.549,38.491,38.491,38.673,38.498,38.538,38.772,38.695,38.71,38.822,39.088,39.063,39.332,39.486,39.531,39.636,39.889,40.034,40.143,40.256,40.387,40.572,40.807,40.976,41.056,41.015,41.006,41.005,41.17,41.214,41.157,41.172,41.096,41.243,41.303,41.447,41.605,41.687,41.735,41.737,41.762,41.804,41.851,41.834,41.881,41.914,41.95,42.038,42.183,42.287,42.481,42.598,42.572,42.657,42.679,42.672,42.818,43.088,43.583,43.825,44.219,44.742,45.507,46.422,47.5,48.081,49.005,49.984,50.778,51.642,52.012,52.331,52.476,52.47,52.761,52.988,53.129,53.373,53.714,54.068,54.34,54.379,54.734,54.927,55.09,55.119,55.242,55.378,55.465,55.583,56.183,56.468,56.578,56.74,56.992,57.134,57.284,57.363,57.685,57.87,58.197,58.433,58.923,59.406,59.73,59.742,60.407,60.485,60.915,61.152,61.441,61.878,62.074,62.294,62.611,63.063,64.017,64.221,64.258,64.781,65.134,65.58,66.039,66.525,67.328,67.746,68.358,69.022,69.454,70.104,71.174,72.36,73.021,73.809,74.542,75.225,75.842,76.397,76.91,77.38,77.743,78.22,78.949,79.332,80.327,80.648,80.886,81.484,82.308,82.747,83.257,83.749,84.133,84.448,84.965,85.155,85.543,85.848,86.012,86.052,86.03,86.157,86.053,86.411,86.892,86.961,87.172,87.588,87.803,88.116,88.344,88.53,89.478,89.479,89.872,89.831,89.937,90.285
"19","11","  Transportation equipment","PS373",26.409,26.423,26.438,26.454,26.384,26.47,26.455,26.598,26.648,27.08,27.137,27.173,27.256,27.286,27.312,27.342,27.329,27.453,27.417,27.457,27.495,27.933,27.97,27.988,27.944,27.966,27.938,28.031,28.073,28.171,28.19,28.183,28.239,28.667,28.829,28.875,28.923,28.972,29.119,29.058,29.211,29.268,29.301,29.364,29.498,30.398,30.538,30.624,30.792,30.947,31.045,31.13,31.149,31.205,31.243,31.24,30.984,31.232,31.262,31.753,31.929,32.083,32.099,32.219,32.27,32.431,32.431,32.456,32.463,32.113,32.165,32.411,32.36,32.44,32.527,32.681,32.737,32.758,32.987,33.053,32.981,33.211,33.301,33.603,34.021,34.166,34.242,34.341,34.717,35.05,35.588,35.998,36.231,37.627,37.9,38.388,38.665,39.079,39.498,39.622,39.687,39.746,39.484,39.609,39.804,41.111,41.389,41.612,41.901,42.096,42.431,42.841,42.891,42.967,42.577,42.754,42.977,44.5,44.685,44.774,44.46,44.944,45.502,45.587,45.687,45.849,45.858,46.168,47.367,47.414,47.537,47.504,47.681,48.176,48.499,48.8,49.197,49.422,49.763,49.897,51.073,50.637,50.965,51.054,51.604,52.103,52.483,53.352,53.565,53.765,54.129,53.748,54.713,54.763,55.013,55.242,56.059,56.435,56.907,58.072,58.077,58.379,58.948,59.425,59.879,62.061,62.057,63.265,64.055,64.829,65.062,66.178,66.596,66.95,67.428,67.652,68.131,68.657,69.435,69.482,70.334,69.862,69.996,70.708,71.075,71.455,72.242,72.432,74.328,72.994,73.45,74.192,74.628,74.695,74.7,74.714,74.799,74.895,75.548,75.814,75.61,75.2,75.51,75.715
"20","12","    Motor vehicles","PS3713",28.789,28.788,28.788,28.788,28.599,28.693,28.599,28.788,28.788,29.551,29.548,29.55,29.645,29.644,29.643,29.643,29.549,29.738,29.645,29.645,29.643,30.309,30.31,30.309,30.213,30.214,30.12,30.213,30.214,30.31,30.213,30.118,30.119,30.784,30.974,30.973,30.975,30.975,31.164,30.974,31.163,31.165,31.165,31.164,31.259,32.779,32.872,32.875,33.063,33.255,33.349,33.443,33.445,33.54,33.635,33.635,33.254,33.73,33.729,34.394,34.395,34.49,34.394,34.489,34.489,34.679,34.585,34.584,34.584,34.11,34.204,34.585,34.49,34.585,34.679,34.869,34.869,34.775,34.869,34.869,34.68,35.155,35.25,35.629,36.104,36.201,36.2,36.294,36.771,37.151,37.814,38.29,38.48,40.666,40.854,41.33,41.141,41.519,41.996,41.996,41.994,42.091,41.995,42.186,42.375,44.18,44.369,44.465,44.657,44.657,44.845,44.846,44.75,44.846,44.846,45.13,45.322,46.936,47.031,47.126,47.017,47.688,48.443,48.359,48.444,48.611,48.611,49.033,50.796,50.543,50.628,50.543,50.627,51.297,51.717,51.887,52.391,52.641,52.726,52.894,54.572,53.733,54.068,54.153,54.824,55.495,55.916,56.84,57.008,57.176,57.344,56.42,58.349,58.184,58.517,58.77,59.275,59.777,60.448,61.624,61.374,61.711,62.716,63.557,63.808,64.562,64.817,66.915,67.756,69.016,69.099,70.187,70.777,71.111,71.366,71.702,72.288,73.212,73.8,73.88,74.722,73.717,73.884,74.136,74.725,75.309,75.647,75.982,78.837,75.984,76.571,76.824,76.602,76.626,76.649,76.836,76.958,77.083,77.267,77.476,77.251,77.078,77.618,77.91
"21","13","    Other","PS37X3",23.112,23.14,23.173,23.207,23.272,23.348,23.413,23.503,23.592,23.714,23.815,23.876,23.94,23.999,24.049,24.115,24.198,24.245,24.277,24.364,24.451,24.591,24.68,24.727,24.74,24.79,24.841,24.932,25.022,25.125,25.287,25.396,25.527,25.639,25.764,25.871,25.977,26.086,26.181,26.269,26.373,26.498,26.569,26.699,26.86,27.107,27.266,27.419,27.558,27.654,27.749,27.821,27.853,27.85,27.789,27.768,27.725,27.575,27.658,27.865,28.349,28.611,28.819,28.982,29.123,29.239,29.405,29.476,29.49,29.353,29.329,29.332,29.356,29.404,29.482,29.572,29.734,29.971,30.44,30.623,30.749,30.569,30.645,30.823,31.14,31.351,31.537,31.65,31.885,32.155,32.504,32.823,33.149,33.356,33.782,34.313,35.2,35.672,36.038,36.313,36.474,36.488,35.993,36.025,36.232,36.826,37.227,37.632,38.044,38.561,39.144,40.298,40.606,40.643,39.494,39.461,39.757,41.158,41.517,41.611,40.896,41.031,41.205,41.642,41.781,41.946,41.991,42.089,42.189,42.829,43.035,43.1,43.463,43.633,43.767,44.348,44.545,44.728,45.598,45.664,45.915,46.227,46.55,46.65,46.967,47.145,47.458,48.272,48.566,48.813,49.455,49.825,49.47,49.848,49.988,50.19,51.402,51.626,51.86,53.006,53.258,53.515,53.64,53.729,54.388,58.151,57.842,57.949,58.686,58.912,59.312,60.434,60.641,61.006,61.76,61.832,62.18,62.244,63.22,63.236,64.092,64.17,64.266,65.502,65.61,65.754,67.085,67.116,67.894,68.287,68.646,69.917,71.142,71.3,71.307,71.114,71.159,71.23,72.556,72.92,72.756,71.984,71.918,71.958
"22","14","  Instruments","PS383",31.861,31.936,31.988,32.021,32.08,32.131,32.265,32.399,32.43,32.453,32.507,32.598,32.656,32.855,32.974,33.031,33.173,33.256,33.243,33.318,33.386,33.498,33.567,33.627,33.58,33.612,33.597,33.672,33.781,33.832,33.929,34.005,34.114,34.2,34.295,34.424,34.54,34.639,34.708,34.828,34.883,34.947,35.131,35.235,35.314,35.429,35.548,35.657,35.807,35.916,36.002,36.099,36.177,36.266,36.336,36.4,36.441,36.315,36.471,36.785,37.538,37.812,37.938,37.753,37.726,37.672,37.577,37.604,37.583,37.606,37.657,37.744,37.921,38.044,38.257,38.346,38.41,38.502,38.591,38.576,38.562,38.33,38.358,38.484,38.596,38.899,39.22,39.662,40.616,41.029,41.576,42.053,42.779,43.546,44.118,44.921,45.26,45.562,45.921,46.142,46.362,46.603,46.798,47.089,47.458,48.087,48.329,48.289,48.231,48.428,48.494,48.62,48.783,49.165,49.465,49.739,49.956,50.204,50.474,50.945,51.238,51.37,51.506,51.523,51.831,51.945,52.5,52.608,52.925,52.575,52.847,53.091,53.437,53.776,54.082,55.181,55.467,55.806,56.049,56.333,56.543,56.983,57.463,58.137,58.402,58.612,58.835,59.407,60.02,60.185,61.03,61.538,61.869,61.762,62.231,62.545,63.125,63.839,64.687,65.484,66.05,66.374,66.269,66.124,66.766,68.084,68.517,69.02,68.891,68.955,69.297,69.691,69.984,70.404,71.389,72.641,72.966,73.124,73.638,73.673,73.803,74.419,74.562,74.723,74.964,75.119,75.264,74.768,75.95,77.354,77.099,77.711,78.523,78.579,78.965,79.118,79.246,79.125,78.744,78.794,79.202,79.029,79.151,78.991
"23","15","  Other manufacturing","PS393",24.981,24.972,25.018,25.018,25.064,25.11,25.146,25.162,25.15,25.044,25.589,25.64,25.733,26.18,25.224,25.259,25.254,25.255,25.305,25.396,25.425,25.577,25.583,25.57,25.496,25.495,25.531,25.535,25.787,26.02,26.148,26.756,26.799,26.846,26.847,26.838,26.897,27.135,27.133,27.046,27.313,27.408,27.576,27.585,27.724,27.737,27.768,27.875,28.221,28.262,28.213,28.31,28.343,28.393,28.469,28.469,28.471,28.48,28.471,28.47,28.491,28.532,28.533,28.625,28.627,28.67,28.874,28.914,29.131,29.053,29.024,29.057,29.235,29.275,29.351,29.579,30.132,30.366,30.317,30.432,30.437,30.542,30.843,30.98,31.472,31.638,32.424,33.79,35.578,36.235,36.766,36.698,37.366,37.504,37.584,37.753,38.521,38.696,38.768,38.802,38.847,38.848,38.868,38.864,38.983,38.799,39.222,39.659,39.715,39.671,39.935,39.714,40.141,40.8,40.54,40.475,40.513,40.552,40.549,40.744,42.198,42.246,42.857,43.589,43.63,43.764,43.66,44.197,43.555,44.343,44.805,44.498,45.204,44.867,46.038,49.957,50.625,50.815,52.676,53.874,53.645,52.583,52.012,53.609,54.662,55.778,56.519,56.702,57.554,58.333,59.005,59.8,61.108,63.209,64.068,65.879,72.289,75.93,73.264,72.174,72.339,75.14,76.679,76.824,77.782,78.123,76.517,76.696,76.145,75.587,75.297,75.264,75.445,75.206,73.103,74.297,74.868,75.497,75.322,74.808,75.758,75.479,74.902,74.553,74.451,74.164,74.093,73.357,75.451,75.222,75.637,77.53,76.054,77.778,76.839,76.723,76.687,77.284,77.028,77.202,76.602,76.762,76.937,77.794
"24","16"," Nondurable goods","PSMN3",25.452,25.474,25.446,25.4,25.474,25.571,25.596,25.61,25.647,25.559,25.52,25.597,25.622,25.711,25.687,25.708,25.763,25.881,25.971,25.947,26.038,26.025,26.085,26.059,26.361,26.456,26.552,26.587,26.735,26.95,27.039,27.104,27.393,27.284,27.353,27.378,27.568,27.593,27.672,27.552,27.624,27.655,27.802,27.818,27.766,27.679,27.673,27.564,27.664,27.919,28.067,28.102,28.208,28.247,28.418,28.413,28.365,28.333,28.273,28.326,28.472,28.659,28.661,28.719,28.81,28.936,29.064,29.158,29.21,29.216,29.256,29.42,29.69,30.261,30.849,30.997,31.24,31.667,32.002,33.201,32.75,32.846,33.016,33.579,34.639,35.652,36.59,37.375,37.901,38.285,39.804,41.395,41.464,42.413,42.673,42.964,43.601,43.337,43.462,43.841,44.183,44.344,45.268,45.477,45.71,45.973,45.653,45.273,45.164,45.106,45.341,45.639,45.813,45.987,46.423,46.61,46.997,46.8,47.07,47.357,47.629,48.019,48.267,48.884,48.983,48.973,48.806,48.779,48.934,49.133,49.583,50.118,50.097,50.53,50.728,51.498,51.589,51.913,51.806,51.984,52.623,53.419,53.609,54.17,54.571,55.166,55.717,56.804,57.436,58.263,59.592,60.527,62.027,62.816,63.385,64.197,65.138,66.83,67.682,68.786,69.097,69.476,70.375,71.505,71.652,72.397,72.774,72.965,73.987,74.763,75.721,77.011,76.557,76.901,76.88,76.953,76.917,76.978,76.781,76.8,77.059,77.128,76.718,76.177,76.17,76.703,77.194,77.168,76.869,76.669,76.858,76.955,76.387,76.149,75.864,75.667,76.118,76.62,76.901,77.443,77.983,78.001,77.81,77.868
"25","17","  Food and kindred product","PS203",29.651,29.556,29.391,29.294,29.517,29.739,29.672,29.664,29.69,29.424,29.17,29.412,29.541,29.74,29.713,29.653,29.756,29.888,30.179,30.181,30.482,30.43,30.563,30.464,31.077,31.239,31.398,31.475,31.973,32.541,32.743,32.865,33.946,33.522,33.615,33.693,34.029,34.048,34.327,33.797,33.958,34.114,34.394,34.387,34.178,33.783,33.684,32.957,33.087,33.902,34.206,34.171,34.375,34.283,34.696,34.641,34.458,34.382,34.365,34.567,34.956,35.537,35.27,35.142,35.301,35.567,35.883,36.009,36.079,35.941,35.886,36.416,37.091,38.143,39.707,39.729,40.176,41.239,42.221,46.606,44.355,43.976,43.109,43.968,45.976,47.757,47.279,46.95,46.696,45.947,49.129,51.363,50.521,52.833,53.108,53.533,53.815,52.472,52.214,53.168,54.046,54.127,56.705,56.606,57,56.961,55.406,53.561,52.56,51.931,52.124,52.604,52.719,52.809,53.23,52.836,53.491,52.574,53.3,54.003,54.375,55.049,55.591,56.288,56.342,55.433,54.408,54.126,54.232,54.721,56.381,58.194,57.83,58.956,59.901,61.703,61.643,62.058,60.822,61.043,62.393,63.966,64.076,65.315,65.57,66.425,66.923,67.408,67.483,67.605,68.909,68.203,69.934,69.902,70.28,71.375,69.483,71.098,70.494,69.284,70.339,70.614,73.185,76.687,76.914,79.207,79.68,78.742,78.467,77.15,76.776,76.396,75.616,76.272,76.711,76.637,75.931,75.823,75.352,75.051,75.607,75.825,75.528,76.103,77.373,77.628,76.986,76.316,75.75,74.846,75.147,75.577,75.856,77.034,77.16,77.776,77.896,77.706,77.542,78.676,79.948,79.232,78.86,79.423
"26","18","  Tobacco products","PS213",12.916,12.916,12.915,12.915,12.914,13.508,13.508,13.508,13.506,13.506,13.506,13.508,13.508,13.509,13.506,13.508,13.507,13.506,13.507,13.506,13.506,13.507,13.626,13.624,13.626,13.624,13.627,13.625,13.626,14.335,14.335,14.334,14.338,14.336,14.335,14.335,14.338,14.335,14.338,14.336,14.337,15.282,15.166,15.165,15.164,15.168,15.164,15.168,15.164,15.167,15.168,15.168,15.164,15.167,15.165,15.164,15.165,15.166,15.168,15.166,15.285,15.283,15.286,15.282,15.283,15.285,15.286,15.282,15.284,15.284,15.285,15.286,15.283,15.759,15.878,15.879,15.998,15.995,15.995,15.995,15.994,15.995,15.996,15.997,15.993,15.995,15.998,15.994,17.18,17.417,17.416,17.535,17.537,17.537,18.718,18.957,19.075,19.195,19.196,19.192,19.193,19.196,19.196,19.194,19.194,19.196,19.431,20.378,20.382,20.379,20.38,20.735,20.734,20.736,20.736,20.734,20.733,20.734,21.923,21.918,22.19,22.255,22.32,22.388,22.39,22.649,22.648,22.581,23.82,24.081,23.888,24.273,24.209,24.275,24.402,24.472,24.533,25.643,26.356,26.295,26.226,25.902,25.709,26.098,27.071,27.137,27.332,27.469,27.597,27.788,27.527,28.244,28.31,28.242,28.116,29.023,30.069,30.132,30.324,30.394,31.693,32.081,31.957,31.825,31.698,31.633,32.082,32.542,32.344,32.605,32.736,34.298,34.431,34.757,34.489,34.423,35.074,35.337,35.149,35.604,35.537,39.173,39.172,39.18,39.174,39.175,39.765,39.761,42.043,46.658,46.526,48.872,45.594,45.684,45.448,45.606,45.641,45.558,48.423,48.928,49.032,49.145,49.323,49.43
