"","Table 2#3#5U# Personal Consumption Expenditures by Major Type of","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207"
"63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","Line",NA,NA,1976,1976,1976,1976,1976,1976,1976,1976,1976,1976,1976,1976,1977,1977,1977,1977,1977,1977,1977,1977,1977,1977,1977,1977,1978,1978,1978,1978,1978,1978,1978,1978,1978,1978,1978,1978,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1979,1980,1980,1980,1980,1980,1980,1980,1980,1980,1980,1980,1980,1981,1981,1981,1981,1981,1981,1981,1981,1981,1981,1981,1981,1982,1982,1982,1982,1982,1982,1982,1982,1982,1982,1982,1982,1983,1983,1983,1983,1983,1983,1983,1983,1983,1983,1983,1983,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984,1985,1985,1985,1985,1985,1985,1985,1985,1985,1985,1985,1985,1986,1986,1986,1986,1986,1986,1986,1986,1986,1986,1986,1986,1987,1987,1987,1987,1987,1987,1987,1987,1987,1987,1987,1987,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1989,1989,1989,1989,1989,1989,1989,1989,1989,1989,1989,1989,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1991,1991,1991,1991,1991,1991,1991,1991,1991,1991,1991,1991,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992
"66",NA,NA,NA,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
"67",NA,"PCE by Major Type of Product (From NIPA table 2.3.5):"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","1","E1PCE1 A     Personal consumption expenditures","E1PCE10",1111201,1111792,1119032,1129573,1126830,1144652,1153754,1162251,1173170,1181239,1193462,1215962,1219255,1235565,1242565,1251638,1261532,1268159,1285150,1290428,1299387,1316278,1331980,1341278,1335162,1361021,1383613,1402464,1418174,1432148,1433151,1453424,1459379,1473526,1487136,1503044,1508871,1524362,1537679,1545139,1565463,1582326,1592642,1622300,1640832,1648729,1664498,1673485,1704128,1708171,1714915,1701822,1706565,1725344,1753557,1770108,1786643,1822966,1833002,1858336,1877677,1892249,1911273,1912583,1921689,1942267,1949571,1973663,1972070,1969971,1976045,1993649,2001146,2024858,2028101,2030531,2049285,2053480,2078277,2086898,2111979,2133780,2158078,2170789,2183567,2186529,2212158,2235312,2254688,2284704,2313200,2329189,2343410,2366222,2374960,2402718,2428566,2412845,2441273,2467595,2484975,2506469,2505652,2523751,2545377,2543571,2583991,2595338,2629613,2650462,2657091,2668769,2705042,2696373,2720462,2756030,2799681,2762296,2778707,2819090,2833513,2826652,2830664,2843845,2867801,2874225,2895910,2914762,2989761,2951560,2948486,3019494,2959749,3026745,3037582,3061198,3070058,3094770,3118194,3155246,3151286,3159626,3169321,3199022,3238612,3246239,3285545,3288019,3318544,3342673,3365571,3389975,3396575,3436326,3452441,3482846,3505311,3509317,3519258,3563228,3571826,3586718,3606370,3642241,3644198,3657003,3667554,3708928,3754486,3752235,3781011,3800468,3808573,3838533,3855078,3881029,3902725,3902868,3905636,3896570,3879283,3907702,3955642,3950463,3976778,3983642,4008407,4011252,4027330,4020070,4048208,4064008,4128244,4141837,4157562,4169847,4195540,4213785,4241761,4258777,4292456,4320210,4334302,4368835
"69","2","E1TDG1 A Durable goods","E1TDG10",151843,154648,155025,157993,152666,158114,159933,158768,161172,160795,163155,172086,168103,173904,179611,178434,178161,179733,180959,183214,184939,185769,189309,192416,180271,187215,193399,202109,205461,206459,203618,210202,201325,208553,210012,212032,208781,212419,213399,211039,212639,207362,214031,219278,223372,216363,216680,217548,227456,220878,211708,200181,196342,202837,214396,211645,213195,223780,224406,223110,227396,234773,238227,229008,227255,228680,232483,247764,237416,224673,224451,223879,228667,236646,236718,232264,244064,233349,234677,235688,247040,240986,255108,257517,254708,253396,257895,267817,274837,283913,289023,286564,288003,298965,300960,313494,321481,313563,313813,320630,326068,330307,325947,324154,328805,327187,342135,343631,349411,348661,356961,349187,367634,353117,359583,373074,405696,361873,363235,373548,383770,371709,366036,385763,395583,385104,397077,415368,468029,415935,401322,450158,380517,407056,409198,417860,414181,425310,431895,448284,439487,422159,426206,437855,449021,447700,451202,446315,453227,455794,450890,448572,447153,456238,459488,477472,473411,459061,459556,478036,465403,469811,474957,496318,477814,470934,467425,468442,513809,482836,480677,483259,472460,471029,473301,466354,472094,463017,460419,451191,429951,444101,472386,451157,450061,454652,461844,456030,464554,451157,454127,456964,471425,476832,467539,465769,477704,486851,482745,487059,492319,497881,489262,507675
"70","3","E1TAP1 B   Motor vehicles and parts","E1TAP10",66472,69653,69871,71416,67208,70822,72055,70408,72716,70780,73431,80264,79893,81994,85281,82357,82253,83547,82297,83556,84465,83722,85289,87599,79937,84479,89346,95699,97191,97684,94444,100076,90357,96297,96220,95875,95814,96889,96693,92562,92430,85190,92493,94453,97970,91423,91817,94001,101047,93913,87698,77634,73404,79483,88807,86179,85550,91235,89755,89516,93491,100645,103334,92918,92379,92745,94611,109873,100796,89938,90035,89124,96282,102035,100747,95989,107709,95835,96610,98663,109389,102272,114874,114622,109615,108833,110028,119838,123869,131311,132526,129773,128654,137890,136918,148781,152048,145863,146264,148920,153466,153319,153171,149523,150890,148819,161562,161602,168501,164092,174132,164531,181406,169334,175372,184809,213170,168104,169143,178421,187112,174155,166519,185399,193022,180517,188372,203239,252156,194335,180261,223554,161271,181403,185979,192285,188474,200118,202729,219100,211519,193974,196549,207115,215051,212250,209550,205417,210906,211679,206085,205753,201033,205902,208908,219755,218507,209924,211171,223955,209088,211616,218941,237085,218376,212977,204488,207456,248412,215686,214610,218898,210438,212373,212502,208013,212499,203353,200090,196412,175166,184684,209551,188444,186306,193255,199094,194279,203127,190340,195702,201767,205897,210737,203219,200625,211876,218438,211860,214159,217745,221444,213644,226936
"71","4","E1FUR1 B   Furniture and household equipment","E1FUR10",58579,58764,58875,59603,58696,59873,60269,60733,60774,61605,62005,62912,62059,64506,65903,66467,65942,66012,67995,67851,68180,69466,70591,71585,68504,70356,71320,73335,74584,74652,74600,74979,75789,76538,77563,79212,77830,78309,79582,80115,81206,83024,83925,86036,86027,85868,85693,85098,86305,86442,84654,83920,84364,84264,85737,86103,86949,89626,91355,90587,91354,92320,92654,92357,91781,92884,92599,92948,92866,91466,91344,90638,89047,91444,91476,92360,92545,92837,94379,93263,93864,95043,95878,98951,99617,99622,102025,102437,104399,105797,108471,109075,110012,111092,113136,113783,116595,114490,114645,117185,117353,120314,117307,118750,122524,121840,123184,123577,123143,125420,125327,126151,127387,126165,126340,129478,131043,133535,133760,134630,135404,135879,137287,138376,140757,142029,144949,146393,147296,148495,148975,149800,148983,152482,151479,152054,152283,151399,154852,155646,155056,154666,155346,156535,157870,158144,161664,162186,162833,164191,163823,163021,165109,166773,168872,169961,172697,168222,167864,170701,171384,172991,171256,172655,172830,172206,173596,172234,175378,176158,175369,173014,172989,170775,170369,169782,170506,169690,168354,166957,166552,169575,172220,173092,174318,172885,174317,173657,172718,171341,170066,169869,176012,176055,174820,175066,175865,177384,178393,179518,180640,182142,182489,185465
"72","5","E1TOD1 B   Other","E1TOD10",26792,26231,26280,26974,26761,27419,27609,27627,27682,28410,27719,28910,26151,27404,28427,29610,29966,30174,30667,31807,32294,32581,33430,33233,31829,32380,32734,33075,33686,34123,34574,35147,35180,35718,36229,36945,35137,37221,37125,38362,39003,39148,37614,38789,39375,39072,39170,38449,40104,40523,39356,38627,38574,39091,39852,39363,40696,42919,43296,43007,42552,41809,42238,43733,43095,43051,45272,44944,43754,43270,43072,44117,43338,43166,44495,43915,43810,44676,43689,43762,43786,43672,44356,43943,45476,44941,45842,45541,46569,46805,48026,47715,49337,49983,50906,50930,52838,53210,52904,54525,55249,56675,55470,55881,55391,56527,57389,58451,57767,59150,57502,58505,58841,57618,57871,58787,61483,60234,60332,60497,61255,61674,62230,61988,61804,62559,63755,65737,68576,73105,72086,76804,70262,73171,71740,73520,73423,73793,74314,73537,72911,73519,74311,74205,76100,77307,79988,78711,79488,79924,80982,79798,81011,83563,81708,87756,82206,80915,80520,83381,84930,85205,84759,86578,86608,85751,89340,88752,90019,90992,90698,91347,89033,87881,90430,88559,89090,89975,91975,87823,88233,89841,90615,89621,89437,88512,88434,88095,88709,89477,88358,85328,89516,90040,89500,90078,89962,91030,92492,93382,93934,94296,93129,95274
"73","6","E1TND1 A Nondurable goods","E1TND10",447050,443568,445622,450239,449951,457918,459321,463073,465420,470049,470715,476910,479703,486555,485364,490092,493776,492819,498975,497697,499450,507582,517362,516386,515075,524040,533668,535835,543278,549536,552384,557178,565959,566365,575535,584082,585511,592826,603174,599415,609331,622896,622986,637789,646546,649412,660350,663268,675671,678311,684882,685321,686985,687407,692202,702424,704095,713915,715545,726297,741016,745488,750784,754695,753865,759996,759781,763701,766212,768563,767777,774771,770828,781532,775824,776026,778603,781107,795578,790497,792908,802225,800824,805177,803680,801710,813374,815182,823770,833122,839966,841404,845587,849706,853947,852524,870616,861808,866734,877250,880633,893548,883768,887361,898007,891496,903396,901070,902908,914229,914315,924498,925496,922434,926768,932932,938539,940444,949859,951998,960989,954246,956448,943608,952488,955713,956410,954623,959546,967278,963788,976194,975261,1002631,998977,1007102,1011032,1015664,1018223,1024296,1025599,1028848,1034448,1041057,1040389,1042137,1064288,1063925,1071827,1077341,1087315,1098040,1103538,1112869,1120207,1119932,1137125,1130665,1137438,1153508,1165037,1167955,1169692,1173609,1183415,1185629,1191750,1204588,1212757,1225905,1234425,1230835,1231543,1245679,1250662,1263728,1273475,1274936,1281910,1272725,1269480,1271280,1279007,1280188,1292164,1288942,1292722,1293192,1286903,1283789,1289768,1289973,1314811,1313757,1308783,1313776,1320422,1316088,1325274,1335593,1340575,1354842,1357156,1364978
"74","7","E1TFD1 B   Food","E1TFD10",236460,234635,236793,238088,239465,242750,243171,245817,246386,248502,247177,251028,255743,258455,256984,258520,263671,263189,264523,262509,262213,265223,272164,268519,270257,275608,280991,282006,284553,289598,291148,294133,298851,298092,302852,306654,309844,312438,318424,313945,318038,326748,321676,326992,332134,332829,341032,341940,346867,344294,348082,348966,351226,351940,353959,360186,361577,365303,367575,371753,376159,376523,377907,380988,382136,382894,383746,386662,385924,389439,387870,391935,389942,396375,393946,398357,401218,402284,407263,405625,407131,413046,410181,414873,411298,415044,418003,419392,420353,423711,427636,426648,429495,430407,433729,429421,437706,438421,440644,443032,443528,448892,448822,451887,454862,449841,455629,455510,456573,459902,460919,464949,465276,465687,466010,467798,473958,473490,477528,478845,483707,483424,487178,486246,489629,490430,492889,491114,494871,500072,499802,504737,503209,510175,508017,512211,512145,514705,514488,518052,518453,520256,523389,527365,526871,530726,542219,542183,547883,550815,556914,564689,564747,567853,573476,573603,580018,577274,580581,581166,587528,588304,592053,594699,601743,601736,605710,608853,615214,622996,630775,632265,632773,640476,641858,644659,649183,642588,647056,641466,644707,648160,656230,655693,664239,664737,663536,662448,658518,656862,659907,654996,669947,667224,664622,663116,663869,657494,662767,669047,669162,679208,682739,682701
"75","8","E1TCS1 B   Clothing and shoes","E1TCS10",74690,74910,74068,75798,74121,76328,77182,77448,77910,78975,78547,79691,78670,81477,81113,82309,81927,82101,84511,84491,84851,88055,89782,90069,87858,89615,91419,92925,94091,95212,94208,95164,97217,96584,97898,99625,97652,96611,100002,98651,99881,100077,101814,103820,103073,103550,104992,104193,105868,104719,103353,104116,105101,105595,106609,109297,108669,111647,111112,111958,113994,115719,115648,116943,114874,117605,118236,118728,119303,118675,117766,118741,117989,121636,119732,118787,119312,117558,122075,120486,120235,121595,121745,124622,124254,123914,125650,127442,129525,132025,131817,132440,132904,135070,137513,137674,141052,139383,136875,140258,142426,146611,141150,141178,144334,143623,146795,146620,145841,149383,149266,150919,151964,149746,151482,153867,154904,154683,157886,155779,158031,158494,160856,161754,163423,163331,163312,166016,165221,166022,163829,167070,165135,173872,172656,172329,172718,174821,175937,176510,176183,176294,176367,179534,179271,177621,182129,180378,183079,182966,185365,185844,188934,193333,193162,194226,199305,191214,192098,197899,197296,198455,198505,199737,202535,202358,203322,204327,203684,203288,206156,202429,204069,206774,206565,203854,203931,202803,202976,202527,201897,206392,208475,211716,209889,207963,211552,212834,208321,207758,209372,207696,214475,219017,214769,217122,219342,221366,221086,225070,226728,227054,226721,229462
"76","9","E1GFO1 B   Gasoline, fuel oil, and other energy goods","E1GFO10",52506,50588,50716,51116,51425,52676,52856,53022,54286,55061,56764,57012,58029,56410,55771,57844,57518,57107,57831,57830,58558,59038,59230,60726,60160,60096,60927,60452,62002,59880,61449,61250,61329,62869,64213,64981,66011,70556,70385,72610,75085,78126,81671,87036,90277,91381,90219,93819,96945,101360,107374,105081,102418,101891,101562,101095,100980,101483,100589,104866,111709,112836,116543,114789,113782,115426,112315,112157,114119,112949,113700,114063,113941,112371,110320,106458,105153,107362,110036,108594,108137,107949,109245,103586,106160,99171,104247,102166,106200,108319,109176,110385,109045,109550,106472,109522,111407,104215,109261,110261,109393,109844,107123,106045,108504,108809,109521,106923,106801,109314,109002,112323,111832,111022,111870,112121,109832,110124,110592,114300,113929,106460,100070,88117,89760,91322,87512,83509,83969,83615,83104,85315,87311,93509,94715,95094,97953,96223,97108,97844,99365,99339,100854,99358,99882,97498,98435,99846,98713,100762,100211,101343,101496,101112,101114,99527,99709,104804,106147,114370,117623,116736,112702,110979,108289,110664,108541,114746,114424,118886,115669,114504,112571,113950,115794,128263,131877,141287,141737,139820,132667,123495,117352,117376,120428,120129,119546,118898,119994,119144,118318,122821,120441,116889,121861,122505,124563,124158,126468,125554,127414,127236,128305,130274
"77","10","E1GAO1 B     Gasoline and oil","E1GAO10",42306,41956,41730,41819,41894,42802,42758,42883,43868,44067,45027,45442,45747,45420,46015,47524,46997,46247,47096,46886,47131,47456,48066,48623,48517,47424,48304,48067,49444,49039,50209,50760,50610,51923,52911,54016,54286,56952,57869,59347,61149,63947,66859,71209,74609,75899,74878,77912,81918,85141,90313,90441,87604,85835,86179,85850,85923,86732,85497,88835,96184,98052,100355,98424,97659,99496,96204,96531,98257,97514,97787,98565,98054,97143,95522,91902,90864,93242,95866,94288,93693,93207,95290,90429,93735,86492,91522,88311,92665,93863,95146,95939,95182,95589,93350,95176,96900,90417,94506,96061,95312,95944,93501,92633,94344,95300,95913,93990,93364,95203,96145,98626,98192,97843,98020,98610,96576,96692,97839,99346,100676,94099,87992,76864,78393,80263,76492,72678,72925,73326,72294,74628,77168,82170,83444,83551,86617,84813,85803,86928,88427,87821,89296,88221,87762,85795,86890,88424,86979,88843,88278,89420,89999,89605,90026,88104,89998,93392,94333,102848,105614,105416,101486,99394,96802,98689,96748,98060,102198,107045,103499,102079,100701,101836,103606,113315,117694,128290,127688,126255,118726,111104,105159,105658,108841,108189,106767,106244,107744,106939,105678,110865,109100,105668,109929,109120,111034,111594,114602,113679,115539,114766,116210,118113
"78","11","E1FUL1 B     Fuel oil and coal","E1FUL10",10200,8632,8986,9297,9531,9874,10098,10139,10418,10994,11737,11570,12282,10990,9756,10320,10521,10860,10735,10944,11427,11582,11164,12103,11643,12672,12623,12385,12558,10841,11240,10490,10719,10946,11302,10965,11725,13604,12516,13263,13936,14179,14812,15827,15668,15482,15341,15907,15027,16219,17061,14640,14814,16056,15383,15245,15057,14751,15092,16031,15525,14784,16188,16365,16123,15930,16111,15626,15862,15435,15913,15498,15887,15228,14798,14556,14289,14120,14170,14306,14444,14742,13955,13157,12425,12679,12725,13854,13535,14456,14030,14447,13863,13960,13122,14346,14507,13798,14755,14199,14081,13900,13623,13412,14160,13509,13608,12933,13437,14111,12857,13697,13641,13179,13850,13511,13256,13432,12753,14954,13253,12361,12079,11253,11368,11058,11020,10831,11045,10288,10810,10687,10143,11339,11271,11543,11337,11409,11305,10916,10938,11518,11558,11136,12120,11702,11544,11422,11734,11919,11933,11923,11497,11507,11088,11422,9712,11412,11814,11521,12009,11320,11215,11586,11487,11976,11793,16686,12226,11841,12170,12425,11870,12114,12188,14948,14183,12997,14049,13565,13941,12390,12194,11718,11588,11940,12779,12654,12250,12205,12640,11956,11340,11222,11932,13385,13529,12564,11866,11875,11876,12471,12095,12160
"79","12","E1TON1 B   Other","E1TON10",83394,83435,84045,85237,84940,86164,86112,86786,86838,87511,88227,89179,87261,90213,91496,91419,90660,90422,92110,92867,93828,95266,96186,97072,96799,98721,100331,100452,102632,104846,105579,106631,108562,108821,110571,112823,112004,113221,114363,114209,116327,117945,117825,119941,121062,121652,124107,123316,125990,127938,126073,127158,128240,127981,130072,131846,132869,135482,136269,137720,139154,140411,140686,141975,143074,144070,145485,146154,146866,147500,148441,150032,148956,151150,151826,152424,152919,153903,156204,155793,157405,159634,159652,162096,161967,163581,165474,166182,167691,169067,171337,171931,174143,174680,176233,175906,180451,179789,179954,183699,185286,188201,186674,188251,190307,189223,191451,192017,193693,195630,195128,196308,196424,195979,197406,199147,199845,202147,203854,203075,205322,205867,208345,207491,209676,210630,212698,213984,215485,217569,217053,219072,219605,225076,223589,227469,228216,229915,230691,231890,231598,232959,233838,234801,234365,236292,241505,241517,242153,242798,244824,246164,248361,250571,252455,252576,258094,257373,258612,260074,262591,264460,266432,268194,270849,270871,274177,276662,279436,280735,281825,281637,282130,284479,286444,286952,288484,288258,290141,288912,290210,293234,296949,295403,297608,296113,298089,299013,300070,300024,302171,304460,309949,310627,307530,311033,312649,313071,314953,315921,317271,321343,319391,322542
"80","13","E1TSS1 A Services","E1TSS10",512308,513576,518385,521341,524214,528621,534500,540410,546578,550395,559591,566966,571450,575106,577590,583112,589596,595608,605216,609517,614998,622927,625309,632475,639817,649766,656546,664520,669435,676152,677150,686044,692095,698607,701589,706930,714578,719117,721106,734685,743494,752069,755625,765232,770914,782954,787469,792670,801002,808982,818325,816321,823238,835100,846959,856039,869352,885270,893051,908929,909265,911988,922262,928880,940569,953592,957307,962198,968442,976735,983817,994999,1001651,1006680,1015558,1022242,1026618,1039024,1048022,1060713,1072031,1090569,1102146,1108095,1125178,1131423,1140888,1152314,1156082,1167668,1184210,1201221,1209820,1217551,1220052,1236700,1236469,1237474,1260726,1269715,1278274,1282614,1295936,1312236,1318565,1324889,1338461,1350637,1377294,1387572,1385816,1395084,1411912,1420823,1434111,1450024,1455447,1459979,1465612,1493544,1488753,1500697,1508180,1514473,1519730,1533408,1542423,1544771,1562186,1568346,1583377,1593143,1603971,1617058,1629408,1636236,1644845,1653797,1668076,1682666,1686200,1708619,1708666,1720109,1749202,1756402,1770056,1777779,1793490,1809538,1827367,1843363,1845883,1867219,1872746,1885442,1894774,1919591,1922264,1931684,1941386,1948951,1961721,1972314,1982969,2000440,2008379,2035898,2027920,2043494,2065908,2086374,2104570,2121825,2131116,2150947,2157156,2164915,2163307,2172654,2179851,2192320,2204249,2219118,2234553,2240049,2253841,2262029,2275873,2285124,2304313,2317071,2342008,2351248,2381241,2390302,2397414,2410846,2433743,2436125,2459562,2467487,2487885,2496182
"81","14","E1HOS1 B   Housing","E1HOS10",155512,156674,157581,158750,159916,161285,162873,163988,165405,166735,168125,169801,171554,173491,174912,176495,177809,179064,180862,182409,184118,185547,187440,189111,191776,193451,195245,197261,199323,201734,202836,204684,207220,209203,211697,213896,215464,217115,218408,220034,223329,225266,227174,230158,233553,237199,238729,240923,243097,244898,246718,248096,251250,254763,256730,259225,262049,266220,269066,271936,274518,277316,279593,282577,286258,288539,290330,294313,297266,300231,301707,304068,306023,306401,308283,308473,311274,312513,316104,317828,319980,323291,324887,326904,329408,330459,331492,334862,335635,338303,341240,344285,347694,350164,353038,355402,358131,360247,363213,366423,369044,371402,376111,379145,383176,386929,388914,391791,393716,397192,399848,402891,408932,411171,415118,418817,421112,424535,428196,430993,434309,435779,438166,442500,443597,445684,448881,452148,455722,458275,461724,463648,466699,469887,472974,475326,478112,479645,482719,487994,490714,497075,499858,502953,506114,508163,511096,513435,516281,519211,522128,525766,529696,532547,535576,537997,540462,543358,545984,548983,552281,555109,558797,561598,564334,568577,572061,576697,579504,581164,586581,588801,591695,597495,601104,605890,608239,610073,611079,613641,616491,619207,620939,625193,627519,629844,632345,634703,637689,640485,643345,645612,648088,649538,652631,653922,655413,657443,659917,661213,661551,665024,667464,669392
"82","15","E1HOP1 B   Household operation","E1HOP10",69188,67391,68894,69624,70415,70968,71816,73628,74685,75967,78402,79365,80408,80140,77970,78344,77871,80886,82679,83488,84092,86121,83604,85959,86216,89530,89061,89486,90441,91272,89774,92413,93255,93335,94154,95331,97335,100070,96386,99094,97915,99253,98367,101276,101791,103979,104713,102907,103404,108142,112586,109921,110737,112686,115777,116475,115985,118533,119224,121321,119567,115896,119631,119667,126091,132690,129580,127701,129332,133243,130564,137342,139360,138592,139758,141866,137609,143259,141169,141972,144069,146474,149415,145956,146384,149232,152852,158013,153277,155124,157490,161994,158955,158892,159542,172369,165170,156978,171318,169784,171016,169219,168358,171752,170604,170076,176362,171896,184207,181874,173765,174207,178562,178647,180518,183388,185272,183102,182371,195978,182588,186486,185048,185418,186640,189824,191717,185723,191295,189710,189493,188992,188908,188213,192399,192934,195851,197992,199778,200025,195111,201624,194029,198113,204834,200876,203685,200887,203385,207552,210114,213811,205556,215145,209856,211764,205199,224235,219174,216129,218612,216255,218148,222028,222187,224935,225795,240155,214926,220756,223927,227440,228585,228309,226927,232504,233211,232947,226910,230707,233060,227134,233479,235739,246320,240214,242521,239489,242119,238450,247129,237597,239060,236973,249578,251053,247837,248582,251001,248315,258841,255019,264429,258230
